"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"31","282.31442301028943","177.58334011247985","0.00390625","0.005859375","0.001953125","2600","0.000224585819617563","0.000224585819617563","0","0.000224585819617563","0.000224585819617563","31_30:0.0013329104176424411;31_32:0.0034466874284438953;31_18:0.0011936986750223921","31_30:0.00326680384301431;31_32:0.002808211252788767;31_18:0.0015207306947777888","31_30:68;31_32:68;31_18:68","true"
"32","148.56036907038134","198.89822781621868","0.004150390625","0.00732421875","0.0009765625","2600","0.00015781950859688375","0.00015781950859688375","0","0.00015781950859688375","0.00015781950859688375","32_31:0.0034466874284438953;32_33:0.001064971741133569","32_31:0.002808211252788767;32_33:0.0025817093375340994","32_31:68;32_33:68","true"
"33","251.4211426292922","235.0596814785411","0.0029296875","0.005859375","0","2600","0.0002116622692873867","0.0002116622692873867","0","0.0002116622692873867","0.0002116622692873867","33_39:0.002261152045101966;33_32:0.001064971741133569;33_34:0.000770446634381694","33_39:0.003790428023329878;33_32:0.0025817093375340994;33_34:0.0012996708827856807","33_39:68;33_32:68;33_34:68","true"
"34","208.92549269784396","196.15106986589262","0.013427734375","0.02099609375","0.005859375","2600","0.00012928283172447565","0.00012928283172447565","0","0.00012928283172447565","0.00012928283172447565","34_33:0.000770446634381694;34_35:0.0014029453675830084","34_33:0.0012996708827856807;34_35:1","34_33:68;34_35:68","true"
"35","447.7515006230801","664.550044456571","0.00439453125","0.00634765625","0.00244140625","2600","0.00013955451952215114","0.00013955451952215114","0","0.00013955451952215114","0.00013955451952215114","35_19:0.0051701082017364675;35_34:0.0014029453675830084","35_19:1;35_34:1","35_19:96;35_34:68","true"
"36","111.00418534244729","162.61978097469407","0.00634765625","0.00830078125","0.00439453125","2600","0.0001826792553828018","0.0001826792553828018","0","0.0001826792553828018","0.0001826792553828018","36_41:0.002277684467602459;36_21:0.0016775974838982022","36_41:0.0029179522735614805;36_21:0.0017315748856142343","36_41:68;36_21:68","true"
"37","210.12786842844838","109.15491242540585","0.029052734375","0.02587890625","0.0322265625","2600","0.00020843420305021105","0.00020843420305021105","0","0.00020843420305021105","0.00020843420305021105","37_45:0.0015802912004738434;37_25:0.0018660109144876813","37_45:1;37_25:0.0028553964814450328","37_45:68;37_25:68","true"
"38","133.05034279217784","62.5368726125277","0.0078125","0.01220703125","0.00341796875","2600","0.00024314092956183566","0.00024314092956183566","0","0.00024314092956183566","0.00024314092956183566","38_29:0.00146986228120502;38_49:0.002289454047258749","38_29:0.002518383105834243;38_49:0.0025899620997455464","38_29:68;38_49:68","true"
"39","108.7667265498932","147.65861503816024","0.0068359375","0.01025390625","0.00341796875","2600","0.0003606196276352686","0.0003606196276352686","0","0.0003606196276352686","0.0003606196276352686","39_53:0.005497128920234379;39_33:0.002261152045101966","39_53:0.0031258331709244636;39_33:0.003790428023329878","39_53:68;39_33:68","true"
"40","200.47879725089803","119.91935831621815","0.0791015625","0.08056640625","0.07763671875","2600","0.00030761167311292093","0.00030761167311292093","0","0.00030761167311292093","0.00030761167311292093","40_41:0.0013803102285581403","40_41:0.0027429852983231473","40_41:68","true"
"41","77.92939104626261","25.5550638995537","0.01123046875","0.0224609375","0","2600","0.0003747798460284945","0.0003747798460284945","0","0.0003747798460284945","0.0003747798460284945","41_40:0.0013803102285581403;41_42:0.0017470701339682704;41_36:0.002277684467602459","41_40:0.0027429852983231473;41_42:0.003659530160523311;41_36:0.0029179522735614805","41_40:68;41_42:68;41_36:68","true"
"42","171.5952762590899","69.69669907081948","0.0703125","0.0498046875","0.0908203125","2600","0.00040584090129554604","0.00040584090129554604","0","0.00040584090129554604","0.00040584090129554604","42_41:0.0017470701339682704;42_43:0.0019924918158547023","42_41:0.003659530160523311;42_43:0.0025327896206924494","42_41:68;42_43:68","true"
"43","176.76177722453593","218.13806607160868","0.003662109375","0.005859375","0.00146484375","2600","0.00012299540117650034","0.00012299540117650034","0","0.00012299540117650034","0.00012299540117650034","43_42:0.0019924918158547023;43_56:0.010290114264103728;43_44:0.0011235430301767546","43_42:0.0025327896206924494;43_56:0.0029567113530437894;43_44:0.0033372625099810094","43_42:68;43_56:68;43_44:68","true"
"44","345.4384017892121","469.4062665212349","0.021240234375","0.02001953125","0.0224609375","2600","0.00020444582147944907","0.00020444582147944907","0","0.00020444582147944907","0.00020444582147944907","44_45:0.0023287090122748044;44_43:0.0011235430301767546","44_45:1;44_43:0.0033372625099810094","44_45:68;44_43:68","true"
"45","379.9161367333843","310.5203369682514","0.00341796875","0.00634765625","0.00048828125","2600","0.00047419726191509875","0.00047419726191509875","0","0.00047419726191509875","0.00047419726191509875","45_44:0.0023287090122748044;45_46:0.001499806114835578;45_37:0.0015802912004738434","45_44:1;45_46:0.001994487484764912;45_37:1","45_44:68;45_46:68;45_37:68","true"
"46","288.598558640051","67.04225878855193","0.011962890625","0.021484375","0.00244140625","2600","0.00013621010178822658","0.00013621010178822658","0","0.00013621010178822658","0.00013621010178822658","46_45:0.001499806114835578;46_47:0.002089349316224176","46_45:0.001994487484764912;46_47:0.0020553485486547174","46_45:68;46_47:68","true"
"47","327.6523203426079","273.10348176037763","0.00244140625","0.00390625","0.0009765625","2600","0.0009549463600966281","0.0009549463600966281","0","0.0009549463600966281","0.0009549463600966281","47_48:0.0022620155780325446;47_57:0.0034155546449010643;47_46:0.002089349316224176","47_48:0.002586386285597847;47_57:0.003990509721332747;47_46:0.0020553485486547174","47_48:68;47_57:68;47_46:68","true"
"48","252.1316608582523","121.19176899498402","0.02294921875","0.02880859375","0.01708984375","2600","0.000275051783802792","0.000275051783802792","0","0.000275051783802792","0.000275051783802792","48_47:0.0022620155780325446;48_49:0.0020232406161818095","48_47:0.002586386285597847;48_49:0.0027044791919872413","48_47:68;48_49:68","true"
"49","212.6026617161005","251.16166578483234","0.00439453125","0.00830078125","0.00048828125","2600","0.000264952496596873","0.000264952496596873","0","0.000264952496596873","0.000264952496596873","49_48:0.0020232406161818095;49_50:0.0015930725565035664;49_38:0.002289454047258749","49_48:0.0027044791919872413;49_50:0.003273949652669944;49_38:0.0025899620997455464","49_48:68;49_50:68;49_38:68","true"
"50","245.1477620598082","292.80147129389223","0.00439453125","0.005859375","0.0029296875","2600","0.0002737956738226362","0.0002737956738226362","0","0.0002737956738226362","0.0002737956738226362","50_49:0.0015930725565035664;50_51:0.0015896508244119811","50_49:0.003273949652669944;50_51:0.0023912849762151023","50_49:68;50_51:68","true"
"51","353.6856541276994","202.37068129380094","0.004638671875","0.00830078125","0.0009765625","2600","0.00014493421448844523","0.00014493421448844523","0","0.00014493421448844523","0.00014493421448844523","51_50:0.0015896508244119811;51_52:0.0015984725863211202;51_58:0.0010728607479840169","51_50:0.0023912849762151023;51_52:0.0014192620904814601;51_58:0.0038581279901217236","51_50:68;51_52:68;51_58:68","true"
"52","216.23666709373512","244.01677797114823","0.00390625","0.0068359375","0.0009765625","2600","0.0002666468216946843","0.0002666468216946843","0","0.0002666468216946843","0.0002666468216946843","52_51:0.0015984725863211202;52_53:0.005491666547855711","52_51:0.0014192620904814601;52_53:0.0030541714122861996","52_51:68;52_53:68","true"
"53","125.84323590742426","148.98090666554228","0.008544921875","0.01708984375","0","2600","0.00022563142853086355","0.00022563142853086355","0","0.00022563142853086355","0.00022563142853086355","53_39:0.005497128920234379;53_52:0.005491666547855711;53_54:0.004627399010796007","53_39:0.0031258331709244636;53_52:0.0030541714122861996;53_54:0.004294936823640183","53_39:68;53_52:68;53_54:68","true"
"54","274.8927127403655","229.54011497553583","0.019775390625","0.01708984375","0.0224609375","2600","0.0006776607444912276","0.0006776607444912276","0","0.0006776607444912276","0.0006776607444912276","54_53:0.004627399010796007;54_55:0.002187973508536889","54_53:0.004294936823640183;54_55:0.003717781970657502","54_53:68;54_55:68","true"
"55","132.44168868060672","72.06846591688033","0.028076171875","0.02392578125","0.0322265625","2600","0.00021059955640923778","0.00021059955640923778","0","0.00021059955640923778","0.00021059955640923778","55_59:0.0017770929154865556;55_54:0.002187973508536889","55_59:0.002879544709946641;55_54:0.003717781970657502","55_59:68;55_54:68","true"
"56","267.645222277884","394.77729463396963","0.0068359375","0.01220703125","0.00146484375","2600","0.000143742783075979","0.000143742783075979","0","0.000143742783075979","0.000143742783075979","56_63:0.009611147464914677;56_43:0.010290114264103728","56_63:0.002631044159356083;56_43:0.0029567113530437894","56_63:80;56_43:68","true"
"57","226.31444939198602","253.92089228207254","0.0029296875","0.00537109375","0.00048828125","2600","0.00017619840447253286","0.00017619840447253286","0","0.00017619840447253286","0.00017619840447253286","57_47:0.0034155546449010643;57_67:0.00718437488903495","57_47:0.003990509721332747;57_67:0.002587841426488824","57_47:68;57_67:100","true"
"58","124.87489801901657","201.33984660379133","0.032958984375","0.03759765625","0.0283203125","2600","0.00011803932971792837","0.00011803932971792837","0","0.00011803932971792837","0.00011803932971792837","58_71:0.0022345242935734866;58_51:0.0010728607479840169","58_71:0.002593307800761252;58_51:0.0038581279901217236","58_71:68;58_51:68","true"
"59","249.41015963063342","60.87088623652675","0.040283203125","0.03076171875","0.0498046875","2600","0.00026538698763710724","0.00026538698763710724","0","0.00026538698763710724","0.00026538698763710724","59_55:0.0017770929154865556;59_75:0.001519813377494017","59_55:0.002879544709946641;59_75:0.0028608719177337094","59_55:68;59_75:68","true"
"60","139.5350480826281","81.18213698022771","0.015625","0.0205078125","0.0107421875","2600","0.00019460311722170438","0.00019460311722170438","0","0.00019460311722170438","0.00019460311722170438","60_61:0.002100405930397564","60_61:0.0018410691084466135","60_61:68","true"
"61","223.23760962758914","316.6549878768086","0.0048828125","0.00927734375","0.00048828125","2600","0.00022932274587626622","0.00022932274587626622","0","0.00022932274587626622","0.00022932274587626622","61_76:0.0037380805297135555;61_60:0.002100405930397564;61_62:0.0014432379432555431","61_76:0.007322372622412393;61_60:0.0018410691084466135;61_62:0.0033066292959101906","61_76:68;61_60:68;61_62:68","true"
"62","127.07517777363442","192.40354286644964","0.00390625","0.0068359375","0.0009765625","2600","0.00019181934905261225","0.00019181934905261225","0","0.00019181934905261225","0.00019181934905261225","62_61:0.0014432379432555431;62_63:0.0015161742902797815","62_61:0.0033066292959101906;62_63:0.0034694502013064843","62_61:68;62_63:68","true"
"63","327.88347516513187","340.70339720236854","0.00390625","0.0078125","0","2600","0.00009742827900794818","0.00009742827900794818","0","0.00009742827900794818","0.00009742827900794818","63_56:0.009611147464914677;63_62:0.0015161742902797815;63_64:0.0018727487582016478","63_56:0.002631044159356083;63_62:0.0034694502013064843;63_64:0.0020119811790982045","63_56:80;63_62:68;63_64:68","true"
"64","185.71223145223388","234.07821807972127","0.00439453125","0.00732421875","0.00146484375","2600","0.0002020193358216065","0.0002020193358216065","0","0.0002020193358216065","0.0002020193358216065","64_65:0.0017544057122237666;64_63:0.0018727487582016478","64_65:0.0020816008093246796;64_63:0.0020119811790982045","64_65:68;64_63:68","true"
"65","177.84332305603266","131.2314874614018","0.041259765625","0.03955078125","0.04296875","2600","0.00012002437833801999","0.00012002437833801999","0","0.00012002437833801999","0.00012002437833801999","65_64:0.0017544057122237666;65_66:0.0013635154181051157;65_77:0.0018618818839201412","65_64:0.0020816008093246796;65_66:0.004164359787122124;65_77:0.0031382539413936372","65_64:68;65_66:68;65_77:68","true"
"66","77.83118564799801","102.09790259410396","0.014892578125","0.02197265625","0.0078125","2600","0.00032143083749733845","0.00032143083749733845","0","0.00032143083749733845","0.00032143083749733845","66_65:0.0013635154181051157;66_67:0.004175017132966585","66_65:0.004164359787122124;66_67:0.0028188901951702316","66_65:68;66_67:68","true"
"67","223.4252991372777","293.213897452664","0.004638671875","0.00634765625","0.0029296875","2600","0.00015930976455218128","0.00015930976455218128","0","0.00015930976455218128","0.00015930976455218128","67_68:0.009813326107507403;67_57:0.00718437488903495;67_66:0.004175017132966585","67_68:0.0037762228892565253;67_57:0.002587841426488824;67_66:0.0028188901951702316","67_68:68;67_57:100;67_66:68","true"
"68","169.44934394433466","146.03663900256967","0.017578125","0.01611328125","0.01904296875","2600","0.00014481106158776224","0.00014481106158776224","0","0.00014481106158776224","0.00014481106158776224","68_67:0.009813326107507403;68_69:0.001606197118359548","68_67:0.0037762228892565253;68_69:0.0033705026912654867","68_67:68;68_69:68","true"
"69","126.72775932070763","186.22129104686303","0.0068359375","0.01318359375","0.00048828125","2600","0.0005011990770118059","0.0005011990770118059","0","0.0005011990770118059","0.0005011990770118059","69_78:0.0020014968791721433;69_68:0.001606197118359548;69_70:0.001992287400428866","69_78:0.0029072567725385023;69_68:0.0033705026912654867;69_70:0.002813112006972124","69_78:68;69_68:68;69_70:68","true"
"70","108.5344014982926","148.46119024022593","0.004638671875","0.00927734375","0","2600","0.0002886373442232734","0.0002886373442232734","0","0.0002886373442232734","0.0002886373442232734","70_69:0.001992287400428866;70_71:0.08957903059033838","70_69:0.002813112006972124;70_71:0.24991080591417844","70_69:68;70_71:88","true"
"71","264.8990745712979","229.2329445963261","0.0078125","0.0146484375","0.0009765625","2600","0.00033829453772967003","0.00033829453772967003","0","0.00033829453772967003","0.00033829453772967003","71_72:0.005688527377059049;71_58:0.0022345242935734866;71_70:0.08957903059033838","71_72:0.006497264763419497;71_58:0.002593307800761252;71_70:0.24991080591417844","71_72:68;71_58:68;71_70:88","true"
"72","318.6270237655215","354.6633553524219","0.015869140625","0.015625","0.01611328125","2600","0.0004200074823430464","0.0004200074823430464","0","0.0004200074823430464","0.0004200074823430464","72_73:0.04705335980308714;72_71:0.005688527377059049","72_73:0.17173657742011392;72_71:0.006497264763419497","72_73:80;72_71:68","true"
"73","287.872365658203","311.0165825532767","0.05029296875","0.06298828125","0.03759765625","2600","0.00019480210195070737","0.00019480210195070737","0","0.00019480210195070737","0.00019480210195070737","73_72:0.04705335980308714;73_74:0.0014177549911663923;73_79:0.0016773602127594656","73_72:0.17173657742011392;73_74:0.004090673801719874;73_79:0.0025386419833176854","73_72:80;73_74:68;73_79:68","true"
"74","302.65639134249557","261.49003944509514","0.0224609375","0.0244140625","0.0205078125","2600","0.00016625203554914623","0.00016625203554914623","0","0.00016625203554914623","0.00016625203554914623","74_73:0.0014177549911663923;74_75:0.007341331157782627","74_73:0.004090673801719874;74_75:0.00775764940012888","74_73:68;74_75:76","true"
"75","196.72874006773634","143.76580538363885","0.015869140625","0.02099609375","0.0107421875","2600","0.0001752704551697018","0.0001752704551697018","0","0.0001752704551697018","0.0001752704551697018","75_59:0.001519813377494017;75_74:0.007341331157782627","75_59:0.0028608719177337094;75_74:0.00775764940012888","75_59:68;75_74:76","true"
"76","26.962443529478307","47.07525534557829","0.013916015625","0.02294921875","0.0048828125","2600","0.00045890583309814566","0.00045890583309814566","0","0.00045890583309814566","0.00045890583309814566","76_81:0.0033451373090513936;76_61:0.0037380805297135555","76_81:0.006207404620652585;76_61:0.007322372622412393","76_81:68;76_61:68","true"
"77","92.25660201543948","157.37054082002385","0.0654296875","0.0595703125","0.0712890625","2600","0.00018085507097276765","0.00018085507097276765","0","0.00018085507097276765","0.00018085507097276765","77_85:0.005654856304641298;77_65:0.0018618818839201412","77_85:0.003838365975720265;77_65:0.0031382539413936372","77_85:68;77_65:68","true"
"78","113.25417831006884","92.84259590940968","0.003662109375","0.0068359375","0.00048828125","2600","0.000242014936377035","0.000242014936377035","0","0.000242014936377035","0.000242014936377035","78_69:0.0020014968791721433;78_89:0.0018441589940726977","78_69:0.0029072567725385023;78_89:0.002052981232688489","78_69:68;78_89:68","true"
"79","182.9434307324773","289.85443909328177","0.009765625","0.01513671875","0.00439453125","2600","0.00018181874172359833","0.00018181874172359833","0","0.00018181874172359833","0.00018181874172359833","79_93:0.0014550003183319005;79_73:0.0016773602127594656","79_93:0.0027419787122400507;79_73:0.0025386419833176854","79_93:68;79_73:68","true"
"80","150.9949675239066","117.35123540504559","0.00390625","0.00634765625","0.00146484375","2600","0.00025169039521554925","0.00025169039521554925","0","0.00025169039521554925","0.00025169039521554925","80_81:0.0022419872879635427","80_81:0.002548038268290337","80_81:68","true"
"81","193.56239257077843","268.5775979636685","0.005126953125","0.00927734375","0.0009765625","2600","0.00046856658121832646","0.00046856658121832646","0","0.00046856658121832646","0.00046856658121832646","81_80:0.0022419872879635427;81_82:0.002871437326262244;81_76:0.0033451373090513936","81_80:0.002548038268290337;81_82:0.0021834366026747543;81_76:0.006207404620652585","81_80:68;81_82:68;81_76:68","true"
"82","169.98999412711436","239.28613786325968","0.003662109375","0.005859375","0.00146484375","2600","0.00035305927207705524","0.00035305927207705524","0","0.00035305927207705524","0.00035305927207705524","82_81:0.002871437326262244;82_83:0.0017002921847958374","82_81:0.0021834366026747543;82_83:1","82_81:68;82_83:68","true"
"83","157.46668275843186","130.36343438170968","0.0078125","0.00830078125","0.00732421875","2600","0.00024487901320094493","0.00024487901320094493","0","0.00024487901320094493","0.00024487901320094493","83_96:0.003735875632790181;83_82:0.0017002921847958374;83_84:0.0013149343561304483","83_96:0.0030112908306733632;83_82:1;83_84:0.0028628221784291197","83_96:68;83_82:68;83_84:68","true"
"84","252.42906131250518","473.1974865995658","0.01025390625","0.01220703125","0.00830078125","2600","0.00008747712153043879","0.00008747712153043879","0","0.00008747712153043879","0.00008747712153043879","84_83:0.0013149343561304483;84_85:0.006511972031859742","84_83:0.0028628221784291197;84_85:0.010243742469734002","84_83:68;84_85:68","true"
