dataset_name,density,ref_density,ref_bipartite_percent,ref_bipartivity,gen_density,gen_bipartite_percent,gen_bipartivity,path,num_samples,mmd,memorized,diversity
10N_ER_Dense,Dense,0.7884,0.0000,1.0000,0.6283,0.0000,0.5596,results/evaluation_results/10N_ER/run_20250704_103803/Dense/samples_20250706.npy,512,0.06067768611964541,0.0020,1.0000
10N_ER_Medium,Medium,0.4380,0.2000,1.0000,0.4850,0.0000,0.6580,results/evaluation_results/10N_ER/run_20250704_103803/Medium/samples_20250706.npy,512,0.010030012039508929,0.0000,1.0000
10N_ER_Sparse,Sparse,0.1919,33.8000,1.0000,0.5000,0.0000,0.6412,results/evaluation_results/10N_ER/run_20250704_103803/Sparse/samples_20250706.npy,512,0.1800654255653802,0.0000,1.0000
10N_ER_Dense,Dense,0.7884,0.0000,1.0000,0.7429,0.0000,0.5235,results/evaluation_results/10N_ER/run_old_2/Dense/samplesER10ND.npy,512,0.010503094060208218,0.1426,0.9297
10N_ER_Medium,Medium,0.4380,0.2000,1.0000,0.4474,0.0000,0.6891,results/evaluation_results/10N_ER/run_old_2/Medium/samplesER10NM.npy,512,0.003070990131237017,0.0000,1.0000
10N_ER_Sparse,Sparse,0.1919,33.8000,1.0000,0.2007,38.2812,0.9430,results/evaluation_results/10N_ER/run_old_2/Sparse/samplesER10NS.npy,512,0.005528409499184983,0.3223,0.7363
10N_ER_Dense,Dense,0.7884,0.0000,1.0000,0.7216,0.0000,0.5282,results/evaluation_results/10N_ER/run_old_1/Dense/samples_20250720.npy,512,0.012618042368816251,0.0527,0.9824
10N_ER_Medium,Medium,0.4380,0.2000,1.0000,0.4573,0.0000,0.6823,results/evaluation_results/10N_ER/run_old_1/Medium/samples_20250720.npy,512,0.00031428391529098043,0.0000,1.0000
10N_ER_Sparse,Sparse,0.1919,33.8000,1.0000,0.2592,16.2109,0.8990,results/evaluation_results/10N_ER/run_old_1/Sparse/samples_20250720.npy,512,0.01431127632917606,0.0977,0.9434
10N_ER_Dense,Dense,0.7884,0.0000,1.0000,0.5650,0.0000,0.5946,results/evaluation_results/10N_ER/run_20250716_103917/Dense/samples_20250717.npy,512,0.08582407530297231,0.0000,1.0000
10N_ER_Medium,Medium,0.4380,0.2000,1.0000,0.2998,8.0078,0.8544,results/evaluation_results/10N_ER/run_20250716_103917/Medium/samples_20250717.npy,512,0.02757556970083297,0.0000,0.9961
10N_ER_Sparse,Sparse,0.1919,33.8000,1.0000,0.2476,17.9688,0.9009,results/evaluation_results/10N_ER/run_20250716_103917/Sparse/samples_20250717.npy,512,0.010776137908432015,0.1289,0.9238
