dataset_name,density,ref_density,ref_bipartite_percent,ref_bipartivity,gen_density,gen_bipartite_percent,gen_bipartivity,path,num_samples,mmd,memorized,diversity
10N_Bipartite_Dense,Dense,0.3470,100.0000,1.0000,0.2871,12.3047,0.8759,results/evaluation_results/10N_Bipartite/run_20250716_095712/Dense/samples_20250717.npy,512,0.06202768359454203,0.0039,0.9844
10N_Bipartite_Medium,Medium,0.2307,100.0000,1.0000,0.2154,33.3984,0.9304,results/evaluation_results/10N_Bipartite/run_20250716_095712/Medium/samples_20250717.npy,512,0.03829740050704922,0.1543,0.8125
10N_Bipartite_Sparse,Sparse,0.1771,100.0000,1.0000,0.2757,15.2344,0.8790,results/evaluation_results/10N_Bipartite/run_20250716_095712/Sparse/samples_20250717.npy,512,0.04893549299467215,0.1016,0.9570
10N_Bipartite_Dense,Dense,0.3470,100.0000,1.0000,0.4515,0.7812,0.7375,results/evaluation_results/10N_Bipartite/run_old_5/Dense/BP10ND_samples.npy,512,0.04290608980811439,0.0020,0.9961
10N_Bipartite_Sparse,Sparse,0.1771,100.0000,1.0000,0.2021,45.7031,0.9515,results/evaluation_results/10N_Bipartite/run_old_5/Sparse/BP10NS_samples.npy,512,0.005758473106862949,0.3613,0.7656
10N_Bipartite_Dense,Dense,0.3470,100.0000,1.0000,0.3967,0.3906,0.7437,results/evaluation_results/10N_Bipartite/run_old_2/Dense/samples.npy,512,0.10246785061671604,0.0000,1.0000
10N_Bipartite_Medium,Medium,0.2307,100.0000,1.0000,0.2446,37.5000,0.9336,results/evaluation_results/10N_Bipartite/run_old_2/Medium/samples.npy,512,0.0064342997598227925,0.1250,0.8984
10N_Bipartite_Sparse,Sparse,0.1771,100.0000,1.0000,0.2013,51.7578,0.9584,results/evaluation_results/10N_Bipartite/run_old_2/Sparse/samples.npy,512,0.007541548040807644,0.3965,0.7070
10N_Bipartite_Dense,Dense,0.3470,100.0000,1.0000,0.4008,0.3906,0.7363,results/evaluation_results/10N_Bipartite/run_old_3/Dense/samples.npy,512,0.11008242348264285,0.0000,1.0000
10N_Bipartite_Medium,Medium,0.2307,100.0000,1.0000,0.2404,39.2578,0.9377,results/evaluation_results/10N_Bipartite/run_old_3/Medium/samples.npy,512,0.0023996974989594078,0.1484,0.8906
10N_Bipartite_Sparse,Sparse,0.1771,100.0000,1.0000,0.2073,47.0703,0.9521,results/evaluation_results/10N_Bipartite/run_old_3/Sparse/samples.npy,512,0.011119576452006896,0.3496,0.7695
10N_Bipartite_Dense,Dense,0.3470,100.0000,1.0000,0.4175,0.3906,0.7222,results/evaluation_results/10N_Bipartite/run_old_4/Dense/samples_20250720.npy,512,0.09082693090160843,0.0000,1.0000
10N_Bipartite_Medium,Medium,0.2307,100.0000,1.0000,0.2965,8.7891,0.8580,results/evaluation_results/10N_Bipartite/run_old_4/Medium/samples_20250720.npy,512,0.023901578408758617,0.0156,0.9805
10N_Bipartite_Sparse,Sparse,0.1771,100.0000,1.0000,0.2424,23.0469,0.9142,results/evaluation_results/10N_Bipartite/run_old_4/Sparse/samples_20250720.npy,512,0.022559614168269015,0.1543,0.9336
10N_Bipartite_Dense,Dense,0.3470,100.0000,1.0000,0.3688,0.7812,0.7701,results/evaluation_results/10N_Bipartite/run_20250704_125454/Dense/samples_20250706.npy,512,0.1362487502851164,0.0000,1.0000
10N_Bipartite_Medium,Medium,0.2307,100.0000,1.0000,0.4114,0.0000,0.7185,results/evaluation_results/10N_Bipartite/run_20250704_125454/Medium/samples_20250706.npy,512,0.11266233936187431,0.0000,0.9961
10N_Bipartite_Sparse,Sparse,0.1771,100.0000,1.0000,0.4563,0.0000,0.6843,results/evaluation_results/10N_Bipartite/run_20250704_125454/Sparse/samples_20250706.npy,512,0.19031797027906833,0.0000,1.0000
10N_Bipartite_Dense,Dense,0.3470,100.0000,1.0000,0.3928,0.1953,0.7460,results/evaluation_results/10N_Bipartite/run_old_1/Dense/samples.npy,512,0.10886033718708998,0.0000,1.0000
10N_Bipartite_Medium,Medium,0.2307,100.0000,1.0000,0.2421,43.1641,0.9383,results/evaluation_results/10N_Bipartite/run_old_1/Medium/samples.npy,512,0.0028033120520105648,0.1406,0.8750
10N_Bipartite_Sparse,Sparse,0.1771,100.0000,1.0000,0.1815,65.2344,0.9716,results/evaluation_results/10N_Bipartite/run_old_1/Sparse/samples.npy,256,0.008955553935656835,0.5312,0.7109
10N_ER_Dense,Dense,0.7884,0.0000,1.0000,0.7423,0.0000,0.5235,results/evaluation_results/10N_ER/run_20250607/Dense/samplesER10ND.npy,512,0.010545892729487139,0.0918,0.9648
10N_ER_Medium,Medium,0.4380,0.2000,1.0000,0.4380,0.0000,0.7002,results/evaluation_results/10N_ER/run_20250607/Medium/samplesER10NM.npy,512,0.0013872743186840175,0.0000,1.0000
10N_ER_Sparse,Sparse,0.1919,33.8000,1.0000,0.2076,32.6172,0.9329,results/evaluation_results/10N_ER/run_20250607/Sparse/samplesER10NS.npy,512,0.004960217767571606,0.2559,0.7598
10N_ER_Dense,Dense,0.7884,0.0000,1.0000,0.7404,0.0000,0.5241,results/evaluation_results/10N_ER/run_20250606/Dense/samplesER10ND.npy,512,0.009651587555872698,0.0996,0.9453
10N_ER_Medium,Medium,0.4380,0.2000,1.0000,0.4496,0.0000,0.6920,results/evaluation_results/10N_ER/run_20250606/Medium/samplesER10NM.npy,512,0.00261651974506516,0.0000,1.0000
10N_ER_Sparse,Sparse,0.1919,33.8000,1.0000,0.2062,35.5469,0.9388,results/evaluation_results/10N_ER/run_20250606/Sparse/samplesER10NS.npy,512,0.007968821014883498,0.3027,0.7539
