bin_idx,bin_left,bin_right,bin_count,bipartite_count,bipartite_percent,mean_density_in_bin,mean_bipartivity_in_bin,dataset_name,nodes,density_category
69,0.394286,0.400000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
70,0.400000,0.405714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
71,0.405714,0.411429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
72,0.411429,0.417143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
73,0.417143,0.422857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
74,0.422857,0.428571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
75,0.428571,0.434286,659,0,0.000000,0.428571,0.798242,8N_Bipartite_Dense,8,Dense
76,0.434286,0.440000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
77,0.440000,0.445714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
78,0.445714,0.451429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
79,0.451429,0.457143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
80,0.457143,0.462857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
81,0.462857,0.468571,376,0,0.000000,0.464286,0.759614,8N_Bipartite_Dense,8,Dense
82,0.468571,0.474286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
83,0.474286,0.480000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
84,0.480000,0.485714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
85,0.485714,0.491429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
86,0.491429,0.497143,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
87,0.497143,0.502857,161,0,0.000000,0.500000,0.725898,8N_Bipartite_Dense,8,Dense
88,0.502857,0.508571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
89,0.508571,0.514286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
90,0.514286,0.520000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
91,0.520000,0.525714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
92,0.525714,0.531429,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
93,0.531429,0.537143,67,0,0.000000,0.535714,0.696851,8N_Bipartite_Dense,8,Dense
94,0.537143,0.542857,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
95,0.542857,0.548571,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
96,0.548571,0.554286,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
97,0.554286,0.560000,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
98,0.560000,0.565714,0,0,NA,NA,NA,8N_Bipartite_Dense,8,Dense
99,0.565714,0.571429,39,0,0.000000,0.584249,0.651968,8N_Bipartite_Dense,8,Dense
0,0.000000,0.005714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
1,0.005714,0.011429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
2,0.011429,0.017143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
3,0.017143,0.022857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
4,0.022857,0.028571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
5,0.028571,0.034286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
6,0.034286,0.040000,11,11,100.000000,0.035714,1.000000,8N_Bipartite_Medium,8,Medium
7,0.040000,0.045714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
8,0.045714,0.051429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
9,0.051429,0.057143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
10,0.057143,0.062857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
11,0.062857,0.068571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
12,0.068571,0.074286,45,45,100.000000,0.071429,1.000000,8N_Bipartite_Medium,8,Medium
13,0.074286,0.080000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
14,0.080000,0.085714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
15,0.085714,0.091429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
16,0.091429,0.097143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
17,0.097143,0.102857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
18,0.102857,0.108571,137,134,97.810219,0.107143,0.997870,8N_Bipartite_Medium,8,Medium
19,0.108571,0.114286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
20,0.114286,0.120000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
21,0.120000,0.125714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
22,0.125714,0.131429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
23,0.131429,0.137143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
24,0.137143,0.142857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
25,0.142857,0.148571,408,382,93.627451,0.142857,0.994146,8N_Bipartite_Medium,8,Medium
26,0.148571,0.154286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
27,0.154286,0.160000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
28,0.160000,0.165714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
29,0.165714,0.171429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
30,0.171429,0.177143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
31,0.177143,0.182857,778,641,82.390746,0.178571,0.984457,8N_Bipartite_Medium,8,Medium
32,0.182857,0.188571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
33,0.188571,0.194286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
34,0.194286,0.200000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
35,0.200000,0.205714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
36,0.205714,0.211429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
37,0.211429,0.217143,1164,759,65.206186,0.214286,0.971270,8N_Bipartite_Medium,8,Medium
38,0.217143,0.222857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
39,0.222857,0.228571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
40,0.228571,0.234286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
41,0.234286,0.240000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
42,0.240000,0.245714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
43,0.245714,0.251429,1570,673,42.866242,0.250000,0.952497,8N_Bipartite_Medium,8,Medium
44,0.251429,0.257143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
45,0.257143,0.262857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
46,0.262857,0.268571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
47,0.268571,0.274286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
48,0.274286,0.280000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
49,0.280000,0.285714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
50,0.285714,0.291429,1603,341,21.272614,0.285714,0.928307,8N_Bipartite_Medium,8,Medium
51,0.291429,0.297143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
52,0.297143,0.302857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
53,0.302857,0.308571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
54,0.308571,0.314286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
55,0.314286,0.320000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
56,0.320000,0.325714,1535,137,8.925081,0.321429,0.903349,8N_Bipartite_Medium,8,Medium
57,0.325714,0.331429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
58,0.331429,0.337143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
59,0.337143,0.342857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
60,0.342857,0.348571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
61,0.348571,0.354286,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
62,0.354286,0.360000,1160,33,2.844828,0.357143,0.869377,8N_Bipartite_Medium,8,Medium
63,0.360000,0.365714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
64,0.365714,0.371429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
65,0.371429,0.377143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
66,0.377143,0.382857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
67,0.382857,0.388571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
68,0.388571,0.394286,750,9,1.200000,0.392857,0.835490,8N_Bipartite_Medium,8,Medium
69,0.394286,0.400000,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
70,0.400000,0.405714,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
71,0.405714,0.411429,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
72,0.411429,0.417143,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
73,0.417143,0.422857,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
74,0.422857,0.428571,0,0,NA,NA,NA,8N_Bipartite_Medium,8,Medium
75,0.428571,0.434286,438,0,0.000000,0.428571,0.796733,8N_Bipartite_Medium,8,Medium
