dataset_name,nodes,density_category,run_path,num_samples,bin_idx,bin_left,bin_right,bin_count,bipartite_count,bipartite_percent,mean_density_in_bin
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,40,0.228571,0.234286,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,41,0.234286,0.240000,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,42,0.240000,0.245714,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,43,0.245714,0.251429,69,44,63.768116,0.250000
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,44,0.251429,0.257143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,45,0.257143,0.262857,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,46,0.262857,0.268571,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,47,0.268571,0.274286,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,48,0.274286,0.280000,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,49,0.280000,0.285714,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,50,0.285714,0.291429,87,40,45.977011,0.285714
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,51,0.291429,0.297143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,52,0.297143,0.302857,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,53,0.302857,0.308571,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,54,0.308571,0.314286,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,55,0.314286,0.320000,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,56,0.320000,0.325714,93,28,30.107527,0.321429
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,57,0.325714,0.331429,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,58,0.331429,0.337143,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,59,0.337143,0.342857,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,60,0.342857,0.348571,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,61,0.348571,0.354286,0,0,NA,NA
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,62,0.354286,0.360000,52,13,25.000000,0.357143
8N_Bipartite_Dense,8,Dense,results/evaluation_results/8N_Bipartite/run_old_2/Dense/samples.npy,512,63,0.360000,0.365714,0,0,NA,NA
