Prob,Mean Prob,Standard Err
0.05,0.04276,0.0010121071704342602
0.07358974358974359,0.06626666666666667,0.0012429227204009462
0.09717948717948718,0.09152,0.0014003872988093923
0.12076923076923077,0.11743999999999999,0.0015549106269421974
0.14435897435897435,0.14607999999999996,0.0016755078991159665
0.16794871794871793,0.16893333333333332,0.0016826550448621367
0.19153846153846155,0.18628,0.0017231099429681077
0.21512820512820513,0.2134,0.0017578266884612562
0.2387179487179487,0.23504,0.0017922660120020624
0.2623076923076923,0.26577333333333336,0.001844347626910092
0.2858974358974359,0.2889333333333333,0.001800455251071548
0.30948717948717946,0.30588000000000004,0.0018271582696149289
0.33307692307692305,0.3272133333333333,0.0018864128828134216
0.35666666666666663,0.35023999999999994,0.0018960747852105177
0.3802564102564102,0.3790266666666666,0.0019433823527265262
0.4038461538461538,0.4002,0.0018440995393717524
0.4274358974358974,0.44142666666666663,0.0018928783584794872
0.45102564102564097,0.45215999999999995,0.0019115206837605615
0.47461538461538455,0.4718533333333333,0.0018492874687895938
0.49820512820512813,0.4880533333333333,0.0018422902075647277
0.5217948717948717,0.5055466666666667,0.0018597676700778155
0.5453846153846154,0.531,0.0018267579052639797
0.568974358974359,0.5660266666666667,0.0018135068152308907
0.5925641025641025,0.58896,0.0019048888308186855
0.6161538461538462,0.6207333333333332,0.0018443135428783373
0.6397435897435897,0.6426933333333333,0.0018591964429111123
0.6633333333333333,0.66896,0.0018925859182023354
0.6869230769230769,0.6885333333333333,0.0019055978356177653
0.7105128205128205,0.7125466666666667,0.0018097466391121652
0.734102564102564,0.7321733333333333,0.0018403616166395129
0.7576923076923077,0.7541866666666667,0.0019400243205806582
0.7812820512820512,0.7741733333333334,0.0018165954090000342
0.8048717948717948,0.8041200000000001,0.0018428916312264389
0.8284615384615385,0.8285866666666667,0.0017266874027068904
0.852051282051282,0.8552666666666668,0.0016544509663329403
0.8756410256410256,0.8783333333333334,0.0015840244105863185
0.8992307692307692,0.8990666666666668,0.0014885052905515657
0.9228205128205128,0.9180133333333335,0.001365020784538544
0.9464102564102563,0.9401733333333333,0.001192894980941556
0.97,0.9643466666666667,0.0009072493029910673
