Prob,Mean Prob,Standard Err
0.05,0.04381333333333333,0.0010453231972297693
0.07358974358974359,0.06593333333333333,0.001246106469501436
0.09717948717948718,0.0916,0.001421649745893833
0.12076923076923077,0.11635999999999999,0.0015578272162070977
0.14435897435897435,0.14587999999999998,0.0016588029847520234
0.16794871794871793,0.16743999999999998,0.0017028774184368709
0.19153846153846155,0.18799999999999997,0.0017079162092379643
0.21512820512820513,0.21574666666666667,0.0017614159859486787
0.2387179487179487,0.23562666666666668,0.0018214564721672599
0.2623076923076923,0.26792,0.0018431004216928725
0.2858974358974359,0.28358666666666665,0.0018272470027034904
0.30948717948717946,0.3052666666666667,0.0018059061129773299
0.33307692307692305,0.3259866666666667,0.0018788308326663627
0.35666666666666663,0.3493733333333333,0.001858245681639899
0.3802564102564102,0.37657333333333337,0.0019492945823781714
0.4038461538461538,0.4009333333333333,0.0018776353923663307
0.4274358974358974,0.44117333333333325,0.0018833941559500144
0.45102564102564097,0.4518933333333333,0.001895326049933244
0.47461538461538455,0.47336000000000006,0.0018553753354929438
0.49820512820512813,0.48748,0.001832237529482584
0.5217948717948717,0.50652,0.001854348681103721
0.5453846153846154,0.5335333333333334,0.0018378226247383067
0.568974358974359,0.5683066666666665,0.0018199376887990176
0.5925641025641025,0.5924133333333333,0.001873617904839013
0.6161538461538462,0.6174666666666666,0.0018459218714657333
0.6397435897435897,0.64376,0.0018691267218201718
0.6633333333333333,0.6681466666666667,0.0018917615917445835
0.6869230769230769,0.6902266666666667,0.0018760024733459175
0.7105128205128205,0.7100533333333333,0.0018196115238637552
0.734102564102564,0.7319333333333334,0.0018631774532293542
0.7576923076923077,0.7539466666666668,0.0019344813511062283
0.7812820512820512,0.7788933333333333,0.0018068424121162926
0.8048717948717948,0.8028133333333334,0.0018633349218836403
0.8284615384615385,0.8282933333333334,0.0017001659108582447
0.852051282051282,0.8520933333333335,0.0016230599468630574
0.8756410256410256,0.8749466666666668,0.0015879474830386832
0.8992307692307692,0.8989333333333333,0.0014726375430951547
0.9228205128205128,0.9193066666666666,0.0013659125854574702
0.9464102564102563,0.9406266666666668,0.001178259220677314
0.97,0.96444,0.0009154886685384052
