run_id,run_type,num_nodes,graph_type,density_category,density_value,generated_density,density_diff,var_degree_dist_value,generated_var_degree_dist,var_degree_dist_diff,tri_value,generated_tri,tri_diff,bipartite_value,generated_bipartite,bipartite_diff,3_cycle_value,generated_3_cycle,3_cycle_diff,4_cycle_value,generated_4_cycle,4_cycle_diff,5_cycle_value,generated_5_cycle,5_cycle_diff,6_cycle_value,generated_6_cycle,6_cycle_diff,7_cycle_value,generated_7_cycle,7_cycle_diff,8_cycle_value,generated_8_cycle,8_cycle_diff,odd_cycles_total_value,generated_odd_cycles_total,odd_cycles_total_diff,even_cycles_total_value,generated_even_cycles_total,even_cycles_total_diff,total_cycles_value,generated_total_cycles,total_cycles_diff,odd_even_ratio_value,generated_odd_even_ratio,odd_even_ratio_diff,odd_total_ratio_value,generated_odd_total_ratio,odd_total_ratio_diff,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
simulation_results/8N_Bipartite/run_20250708_220824/Sparse,Simulation,8,Bipartite,Sparse,0.2256,0.2675,0.0419,1.0013,0.9923,-0.009,0,0.7793,0.7793,100,50.5859,-49.4141,0,0.7793,0.7793,0.8346,2.3164,1.4818,0,0.9863,0.9863,0.1504,0.7754,0.625,0,0.3457,0.3457,0,0.0293,0.0293,0,2.1113,2.1113,0.985,3.1211,2.1361,131,5.2324,-125.7676,0,94.0138,94.0138,0,0.2774,0.2774,0.3906,45.5078,99.4141,62.8906
evaluation_results/8N_Bipartite/run_20250715_165138/Sparse,Evaluation,8,Bipartite,Sparse,0.2256,0.2539,0.0283,1.0013,1.061,0.0597,0,0.9766,0.9766,100,48.6328,-51.3672,0,0.9766,0.9766,0.8346,1.959,1.1244,0,0.8633,0.8633,0.1504,0.5742,0.4238,0,0.2266,0.2266,0,0.0371,0.0371,0,2.0664,2.0664,0.985,2.5703,1.5854,131,4.6367,-126.3633,0,123.2862,123.2862,0,0.3071,0.3071,0.1953,45.5078,100,59.7656
simulation_results/8N_Bipartite/run_20250714_104340/Medium,Simulation,8,Bipartite,Medium,0.2887,0.3144,0.0256,1.2809,1.0365,-0.2444,0,1.1973,1.1973,100,35.9375,-64.0625,0,1.1973,1.1973,4.0332,3.5059,-0.5274,0,1.4902,1.4902,2.2952,1.3613,-0.9339,0,0.6387,0.6387,0.4982,0.1289,-0.3692,0,3.3262,3.3262,6.8266,4.9961,-1.8305,1850,8.3223,-1841.6777,0,84.3815,84.3815,0,0.3354,0.3354,0,35.9375,99.8047,76.7578
evaluation_results/8N_Bipartite/run_20250715_165138/Dense,Evaluation,8,Bipartite,Dense,0.311,0.2788,-0.0322,1.346,1.129,-0.217,0,1.1172,1.1172,100,34.9609,-65.0391,0,1.1172,1.1172,5.4368,2.3633,-3.0735,0,1.0273,1.0273,3.5019,0.6367,-2.8652,0,0.252,0.252,0.7893,0.0234,-0.7658,0,2.3965,2.3965,9.728,3.0234,-6.7045,2539,5.4199,-2533.5801,0,129.2672,129.2672,0,0.3749,0.3749,0,25.7812,100,68.9453
simulation_results/8N_Bipartite/run_20250714_104340/Dense,Simulation,8,Bipartite,Dense,0.311,0.3308,0.0197,1.346,1.0276,-0.3184,0,1.3027,1.3027,100,34.5703,-65.4297,0,1.3027,1.3027,5.4368,4.5449,-0.8919,0,1.9238,1.9238,3.5019,1.8672,-1.6347,0,0.8594,0.8594,0.7893,0.1758,-0.6135,0,4.0859,4.0859,9.728,6.5879,-3.1401,2539,10.6738,-2528.3262,0,47.3418,47.3418,0,0.3181,0.3181,0,29.2969,99.6094,78.3203
evaluation_results/8N_Bipartite/run_20250714_104340/Sparse,Evaluation,8,Bipartite,Sparse,0.2256,0.3039,0.0784,1.0013,1.1832,0.1819,0,1.3926,1.3926,100,33.5938,-66.4062,0,1.3926,1.3926,0.8346,3.6543,2.8197,0,1.9297,1.9297,0.1504,1.4375,1.2871,0,0.6523,0.6523,0,0.1328,0.1328,0,3.9746,3.9746,0.985,5.2246,4.2396,131,9.1992,-121.8008,0,88.3212,88.3212,0,0.3533,0.3533,0,28.125,99.8047,75.7812
evaluation_results/8N_Bipartite/run_20250709_142105/Sparse,Evaluation,8,Bipartite,Sparse,0.2256,0.2937,0.0682,1.0013,1.1556,0.1544,0,1.2949,1.2949,100,31.8359,-68.1641,0,1.2949,1.2949,0.8346,3.0293,2.1947,0,1.4453,1.4453,0.1504,1.0254,0.875,0,0.3926,0.3926,0,0.0801,0.0801,0,3.1328,3.1328,0.985,4.1348,3.1498,131,7.2676,-123.7324,0,105.8837,105.8837,0,0.373,0.373,0,26.9531,100,75.5859
evaluation_results/8N_Bipartite/run_20250715_165138/Medium,Evaluation,8,Bipartite,Medium,0.2887,0.3066,0.0179,1.2809,1.0889,-0.192,0,1.3672,1.3672,100,31.6406,-68.3594,0,1.3672,1.3672,4.0332,3.2695,-0.7637,0,1.6191,1.6191,2.2952,1.2363,-1.0589,0,0.5762,0.5762,0.4982,0.1836,-0.3146,0,3.5625,3.5625,6.8266,4.6895,-2.1371,1850,8.252,-1841.748,0,103.9351,103.9351,0,0.3711,0.3711,0.1953,31.0547,100,76.9531
simulation_results/8N_Bipartite/run_20250709_142105/Medium,Simulation,8,Bipartite,Medium,0.2887,0.3313,0.0426,1.2809,1.0955,-0.1855,0,1.4727,1.4727,100,30.8594,-69.1406,0,1.4727,1.4727,4.0332,4.4902,0.457,0,2.166,2.166,2.2952,2.1465,-0.1487,0,0.9707,0.9707,0.4982,0.2324,-0.2657,0,4.6094,4.6094,6.8266,6.8691,0.0426,1850,11.4785,-1838.5215,0,59.0814,59.0814,0,0.3451,0.3451,0,30.4688,99.8047,81.4453
evaluation_results/8N_Bipartite/run_20250708_220824/Sparse,Evaluation,8,Bipartite,Sparse,0.2256,0.305,0.0794,1.0013,1.1411,0.1398,0,1.4785,1.4785,100,30.2734,-69.7266,0,1.4785,1.4785,0.8346,3.4961,2.6615,0,1.9043,1.9043,0.1504,1.5176,1.3672,0,0.7969,0.7969,0,0.1465,0.1465,0,4.1797,4.1797,0.985,5.1602,4.1752,131,9.3398,-121.6602,0,86.409,86.409,0,0.3713,0.3713,0,25.9766,100,75.5859
simulation_results/8N_Bipartite/run_20250709_142105/Dense,Simulation,8,Bipartite,Dense,0.311,0.3503,0.0393,1.346,1.0737,-0.2723,0,1.543,1.543,100,29.6875,-70.3125,0,1.543,1.543,5.4368,5.6074,0.1706,0,2.7168,2.7168,3.5019,2.6875,-0.8144,0,1.334,1.334,0.7893,0.293,-0.4963,0,5.5938,5.5938,9.728,8.5879,-1.1401,2539,14.1816,-2524.8184,0,31.7573,31.7573,0,0.3246,0.3246,0,26.7578,100,85.9375
simulation_results/8N_Bipartite/run_20250708_220824/Medium,Simulation,8,Bipartite,Medium,0.2887,0.3324,0.0436,1.2809,1.0685,-0.2124,0,1.4062,1.4062,100,29.2969,-70.7031,0,1.4062,1.4062,4.0332,4.6387,0.6055,0,2.1602,2.1602,2.2952,2.2012,-0.094,0,1.0645,1.0645,0.4982,0.2832,-0.215,0,4.6309,4.6309,6.8266,7.123,0.2965,1850,11.7539,-1838.2461,0,72.7215,72.7215,0,0.3533,0.3533,0,28.125,100,79.4922
simulation_results/8N_Bipartite/run_20250708_220824/Dense,Simulation,8,Bipartite,Dense,0.311,0.3511,0.0401,1.346,1.0791,-0.2669,0,1.6836,1.6836,100,24.6094,-75.3906,0,1.6836,1.6836,5.4368,5.6074,0.1706,0,3.002,3.002,3.5019,2.8691,-0.6328,0,1.4492,1.4492,0.7893,0.3457,-0.4436,0,6.1348,6.1348,9.728,8.8223,-0.9057,2539,14.957,-2524.043,0,49.3582,49.3582,0,0.3599,0.3599,0.3906,21.2891,99.6094,83.7891
evaluation_results/8N_Bipartite/run_20250714_104340/Dense,Evaluation,8,Bipartite,Dense,0.311,0.354,0.043,1.346,1.1412,-0.2048,0,2.127,2.127,100,19.5312,-80.4688,0,2.127,2.127,5.4368,5.9395,0.5027,0,3.7305,3.7305,3.5019,3.7129,0.211,0,2.1973,2.1973,0.7893,0.6836,-0.1057,0,8.0547,8.0547,9.728,10.3359,0.608,2539,18.3906,-2520.6094,0,43.571,43.571,0,0.3862,0.3862,0,17.3828,100,84.9609
evaluation_results/8N_Bipartite/run_20250714_104340/Medium,Evaluation,8,Bipartite,Medium,0.2887,0.3567,0.0679,1.2809,1.1906,-0.0904,0,2.248,2.248,100,17.7734,-82.2266,0,2.248,2.248,4.0332,5.9648,1.9316,0,3.584,3.584,2.2952,3.1543,0.8591,0,1.8516,1.8516,0.4982,0.5762,0.078,0,7.6836,7.6836,6.8266,9.6953,2.8687,1850,17.3789,-1832.6211,0,65.0437,65.0437,0,0.4092,0.4092,0,17.1875,100,89.6484
evaluation_results/8N_Bipartite/run_20250709_142105/Medium,Evaluation,8,Bipartite,Medium,0.2887,0.3732,0.0844,1.2809,1.2441,-0.0368,0,2.5137,2.5137,100,17.5781,-82.4219,0,2.5137,2.5137,4.0332,7.1426,3.1094,0,4.4961,4.4961,2.2952,4.1367,1.8415,0,2.2578,2.2578,0.4982,0.5176,0.0194,0,9.2676,9.2676,6.8266,11.7969,4.9703,1850,21.0645,-1828.9355,0,43.5866,43.5866,0,0.3948,0.3948,0,16.9922,100,91.9922
evaluation_results/8N_Bipartite/run_20250708_220824/Dense,Evaluation,8,Bipartite,Dense,0.311,0.3742,0.0631,1.346,1.1724,-0.1736,0,2.3906,2.3906,100,16.2109,-83.7891,0,2.3906,2.3906,5.4368,6.9238,1.487,0,4.3652,4.3652,3.5019,4.0898,0.5879,0,2.4102,2.4102,0.7893,0.582,-0.2072,0,9.166,9.166,9.728,11.5957,1.8677,2539,20.7617,-2518.2383,0,27.997,27.997,0,0.3914,0.3914,0,14.2578,100,89.4531
evaluation_results/8N_Bipartite/run_20250709_142105/Dense,Evaluation,8,Bipartite,Dense,0.311,0.382,0.0709,1.346,1.1731,-0.1729,0,2.6367,2.6367,100,14.6484,-85.3516,0,2.6367,2.6367,5.4368,7.5918,2.155,0,5.082,5.082,3.5019,5.1191,1.6172,0,3.2051,3.2051,0.7893,0.9863,0.1971,0,10.9238,10.9238,9.728,13.6973,3.9693,2539,24.6211,-2514.3789,0,31.904,31.904,0,0.3979,0.3979,0.1953,13.0859,100,90.2344
evaluation_results/8N_Bipartite/run_20250708_220824/Medium,Evaluation,8,Bipartite,Medium,0.2887,0.3707,0.0819,1.2809,1.2256,-0.0553,0,2.5273,2.5273,100,14.2578,-85.7422,0,2.5273,2.5273,4.0332,6.7012,2.668,0,4.2383,4.2383,2.2952,3.9766,1.6814,0,2.4219,2.4219,0.4982,0.7871,0.289,0,9.1875,9.1875,6.8266,11.4648,4.6383,1850,20.6523,-1829.3477,0,59.2047,59.2047,0,0.4181,0.4181,0.1953,13.4766,100,92.1875
evaluation_results/old/legacy_run_params_8N_Bipartite_Medium_LR0.003551614405932626_SIGMA1.3352557243570238_INIT0.8853914111571922_NUMLAYERS5,Evaluation,8,Bipartite,Medium,0.2887,0.3638,0.0751,1.2809,1.2712,-0.0097,0,2.5371,2.5371,100,13.0859,-86.9141,0,2.5371,2.5371,4.0332,6.5684,2.5351,0,4.4922,4.4922,2.2952,4.0527,1.7575,0,2.4141,2.4141,0.4982,0.7676,0.2694,0,9.4434,9.4434,6.8266,11.3887,4.5621,1850,20.832,-1829.168,0,53.4001,53.4001,0,0.4285,0.4285,0.1953,12.3047,100,91.2109
evaluation_results/old/legacy_run_params_8N_Bipartite_Dense_LR0.0018973825577720538_SIGMA1.3106607895258173_INIT0.1942402847384792_NUMLAYERS3,Evaluation,8,Bipartite,Dense,0.311,0.3624,0.0514,1.346,1.2583,-0.0877,0,2.3711,2.3711,100,12.8906,-87.1094,0,2.3711,2.3711,5.4368,6.3086,0.8718,0,3.8809,3.8809,3.5019,3.3789,-0.123,0,1.8906,1.8906,0.7893,0.5039,-0.2854,0,8.1426,8.1426,9.728,10.1914,0.4634,2539,18.334,-2520.666,0,49.4739,49.4739,0,0.4185,0.4185,0,10.9375,99.8047,90.8203
simulation_results/old/legacy_run_params_8N_Bipartite_Medium_LR0.012529922603919507_SIGMA1.4402562057733146_INIT1.9680596739001786_MAX_WEIGHT5,Simulation,8,Bipartite,Medium,0.2887,0.5331,0.2444,1.2809,1.1908,-0.0901,0,5.959,5.959,100,2.5391,-97.4609,0,5.959,5.959,4.0332,26.0488,22.0156,0,23.7383,23.7383,2.2952,35.1055,32.8103,0,27.4902,27.4902,0.4982,9.4648,8.9667,0,57.1875,57.1875,6.8266,70.6191,63.7926,1850,127.8066,-1722.1934,0,0.7831,0.7831,0,0.4292,0.4292,0,1.9531,93.75,67.3828
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_id,run_type,num_nodes,graph_type,density_category,density_value,generated_density,density_diff,var_degree_dist_value,generated_var_degree_dist,var_degree_dist_diff,tri_value,generated_tri,tri_diff,bipartite_value,generated_bipartite,bipartite_diff,3_cycle_value,generated_3_cycle,3_cycle_diff,4_cycle_value,generated_4_cycle,4_cycle_diff,5_cycle_value,generated_5_cycle,5_cycle_diff,6_cycle_value,generated_6_cycle,6_cycle_diff,7_cycle_value,generated_7_cycle,7_cycle_diff,8_cycle_value,generated_8_cycle,8_cycle_diff,odd_cycles_total_value,generated_odd_cycles_total,odd_cycles_total_diff,even_cycles_total_value,generated_even_cycles_total,even_cycles_total_diff,total_cycles_value,generated_total_cycles,total_cycles_diff,odd_even_ratio_value,generated_odd_even_ratio,odd_even_ratio_diff,odd_total_ratio_value,generated_odd_total_ratio,odd_total_ratio_diff,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/8N_ER/run_20250709_142102/Dense,Evaluation,8,ER,Dense,0.7618,0.663,-0.0988,1.1482,1.2091,0.0609,24.365,16.4883,-7.8767,0,0,0,24.365,16.4883,-7.8767,86.905,54.7871,-32.1179,161.145,87.7227,-73.4223,294.205,145.6934,-148.5116,364.445,166.4824,-197.9626,227.66,97.709,-129.951,549.955,270.6934,-279.2616,608.77,298.1895,-310.5805,231745,568.8828,-231176.1172,0.9034,0.9151,0.0118,0.4746,0.4775,0.0029,0,27.1484,99.8047,87.1094
simulation_results/8N_ER/run_20250709_142102/Dense,Simulation,8,ER,Dense,0.7618,0.7003,-0.0615,1.1482,1.1433,-0.0049,24.365,19.4043,-4.9607,0,0,0,24.365,19.4043,-4.9607,86.905,66.4414,-20.4636,161.145,114.5781,-46.5669,294.205,201.2168,-92.9882,364.445,242.5234,-121.9216,227.66,149.4199,-78.2401,549.955,376.5059,-173.4491,608.77,417.0781,-191.6919,231745,793.584,-230951.416,0.9034,0.9169,0.0135,0.4746,0.478,0.0034,0,40.0391,100,75.5859
simulation_results/old/legacy_run_params_8N_ER_Dense_LR0.04206675941389984_SIGMA0.7206244967648459_INIT0.5521825859396434_NUMLAYERS1,Simulation,8,ER,Dense,0.7618,0.752,-0.0098,1.1482,0.9921,-0.1561,24.365,23.916,-0.449,0,0,0,24.365,23.916,-0.449,86.905,85.8809,-1.0241,161.145,163.1074,1.9624,294.205,307.1816,12.9766,364.445,397.082,32.637,227.66,262.5449,34.8849,549.955,584.1055,34.1505,608.77,655.6074,46.8374,231745,1239.7129,-230505.2871,0.9034,0.9074,0.004,0.4746,0.4755,0.0009,0.1953,61.9141,100,57.2266
simulation_results/old/legacy_run_params_8N_ER_Medium_LR0.011220685773844122_SIGMA0.6962179567887462_INIT1.810103830663358_NUMLAYERS5,Simulation,8,ER,Medium,0.442,0.4457,0.0038,1.4612,1.3042,-0.157,4.31,4.9844,0.6744,0.5,2.9297,2.4297,4.31,4.9844,0.6744,11.295,13.2949,1.9999,8.58,11.9395,3.3595,8.075,13.3008,5.2258,4.99,9.9414,4.9514,1.465,3.7852,2.3202,17.88,26.8652,8.9852,20.835,30.3809,9.5459,7743,57.2461,-7685.7539,0.8582,18.3811,17.5229,0.4618,0.4549,-0.007,0,1.1719,100,96.0938
simulation_results/old/legacy_run_params_8N_ER_Sparse_LR0.04522709518095061_SIGMA0.6587519702447917_INIT0.17944082088572766_NUMLAYERS1,Simulation,8,ER,Sparse,0.2207,0.2257,0.0049,1.083,0.9274,-0.1556,0.565,0.6426,0.0776,51.5,54.4922,2.9922,0.565,0.6426,0.0776,0.555,1.0078,0.4528,0.085,0.3906,0.3056,0.025,0.2148,0.1898,0.005,0.0605,0.0555,0,0.0078,0.0078,0.655,1.0938,0.4387,0.58,1.2305,0.6505,247,2.3242,-244.6758,1.1293,175.891,174.7617,0.5304,0.3131,-0.2172,0,70.7031,99.8047,47.8516
simulation_results/8N_ER/run_20250709_142102/Medium,Simulation,8,ER,Medium,0.442,0.461,0.019,1.4612,1.2721,-0.1891,4.31,5.5449,1.2349,0.5,3.125,2.625,4.31,5.5449,1.2349,11.295,15.2871,3.9921,8.58,14.9102,6.3302,8.075,17.752,9.677,4.99,14.6426,9.6526,1.465,6.1191,4.6541,17.88,35.0977,17.2177,20.835,39.1582,18.3232,7743,74.2559,-7668.7441,0.8582,14.4938,13.6357,0.4618,0.4561,-0.0057,0,3.125,100,98.0469
evaluation_results/8N_ER/run_20250709_142102/Medium,Evaluation,8,ER,Medium,0.442,0.4648,0.0228,1.4612,1.3302,-0.131,4.31,5.5312,1.2213,0.5,1.9531,1.4531,4.31,5.5312,1.2213,11.295,15.2969,4.0019,8.58,14.1465,5.5665,8.075,15.6445,7.5695,4.99,11.5176,6.5276,1.465,4.2363,2.7713,17.88,31.1953,13.3153,20.835,35.1777,14.3427,7743,66.373,-7676.627,0.8582,14.4979,13.6397,0.4618,0.4596,-0.0022,0,3.5156,100,97.2656
simulation_results/8N_ER/run_20250709_142102/Sparse,Simulation,8,ER,Sparse,0.2207,0.2862,0.0655,1.083,1.119,0.036,0.565,1.4746,0.9096,51.5,31.8359,-19.6641,0.565,1.4746,0.9096,0.555,2.9062,2.3512,0.085,1.4785,1.3935,0.025,1.0781,1.0531,0.005,0.5234,0.5184,0,0.1387,0.1387,0.655,3.4766,2.8216,0.58,4.123,3.543,247,7.5996,-239.4004,1.1293,119.5557,118.4263,0.5304,0.3855,-0.1448,0,41.9922,100,72.4609
evaluation_results/8N_ER/run_20250709_142102/Sparse,Evaluation,8,ER,Sparse,0.2207,0.3138,0.093,1.083,1.1675,0.0845,0.565,1.8652,1.3002,51.5,25.7812,-25.7188,0.565,1.8652,1.3002,0.555,4.0391,3.4841,0.085,2.4805,2.3955,0.025,2.1289,2.1039,0.005,1.248,1.243,0,0.3945,0.3945,0.655,5.5938,4.9387,0.58,6.5625,5.9825,247,12.1562,-234.8438,1.1293,90.3401,89.2108,0.5304,0.3932,-0.1372,0,31.6406,100,77.5391
