run_id,run_type,num_nodes,graph_type,density_category,generated_density,density_value,mmd_density,generated_var_degree_dist,var_degree_dist_value,mmd_var_degree_dist,generated_tri,tri_value,mmd_tri,generated_bipartite,bipartite_value,mmd_bipartite,mmd_samples,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/8N_Bipartite/run_20250708_220824/Dense,Evaluation,8,Bipartite,Dense,0.3742,0.3110,0.1069,1.1724,0.9935,0.0281,2.3906,0.0000,0.6604,0.1621,1.0000,0.5523,0.0287,0.0000,14.2578,100.0000,89.4531
evaluation_results/8N_Bipartite/run_20250708_220824/Medium,Evaluation,8,Bipartite,Medium,0.3707,0.2887,0.1478,1.2256,0.9255,0.0734,2.5273,0.0000,0.6534,0.1426,1.0000,0.5783,0.0314,0.1953,13.4766,100.0000,92.1875
evaluation_results/8N_Bipartite/run_20250708_220824/Sparse,Evaluation,8,Bipartite,Sparse,0.3050,0.2256,0.1825,1.1411,0.8271,0.0588,1.4785,0.0000,0.3842,0.3027,1.0000,0.3823,0.0228,0.0000,25.9766,100.0000,75.5859
evaluation_results/8N_Bipartite/run_20250709_142105/Dense,Evaluation,8,Bipartite,Dense,0.3820,0.3110,0.1250,1.1731,0.9935,0.0301,2.6367,0.0000,0.7113,0.1465,1.0000,0.5731,0.0300,0.1953,13.0859,100.0000,90.2344
evaluation_results/8N_Bipartite/run_20250709_142105/Medium,Evaluation,8,Bipartite,Medium,0.3732,0.2887,0.1534,1.2441,0.9255,0.0857,2.5137,0.0000,0.6022,0.1758,1.0000,0.5344,0.0342,0.0000,16.9922,100.0000,91.9922
evaluation_results/8N_Bipartite/run_20250709_142105/Sparse,Evaluation,8,Bipartite,Sparse,0.2937,0.2256,0.1520,1.1556,0.8271,0.0679,1.2949,0.0000,0.3494,0.3184,1.0000,0.3653,0.0168,0.0000,26.9531,100.0000,75.5859
evaluation_results/8N_Bipartite/run_20250714_104340/Dense,Evaluation,8,Bipartite,Dense,0.3540,0.3110,0.0397,1.1412,0.9935,0.0151,2.1270,0.0000,0.5330,0.1953,1.0000,0.5093,0.0296,0.0000,17.3828,100.0000,84.9609
evaluation_results/8N_Bipartite/run_20250714_104340/Medium,Evaluation,8,Bipartite,Medium,0.3567,0.2887,0.1033,1.1906,0.9255,0.0562,2.2480,0.0000,0.6065,0.1777,1.0000,0.5318,0.0322,0.0000,17.1875,100.0000,89.6484
evaluation_results/8N_Bipartite/run_20250714_104340/Sparse,Evaluation,8,Bipartite,Sparse,0.3039,0.2256,0.1563,1.1832,0.8271,0.0846,1.3926,0.0000,0.3315,0.3359,1.0000,0.3467,0.0245,0.0000,28.1250,99.8047,75.7812
evaluation_results/8N_Bipartite/run_20250715_165138/Dense,Evaluation,8,Bipartite,Dense,0.2788,0.3110,0.0352,1.1290,0.9935,0.0204,1.1172,0.0000,0.3078,0.3496,1.0000,0.3325,0.0408,0.0000,25.7812,100.0000,68.9453
