run_id,run_type,num_nodes,graph_type,density_category,density_value,generated_density,density_diff,var_degree_dist_value,generated_var_degree_dist,var_degree_dist_diff,tri_value,generated_tri,tri_diff,bipartite_value,generated_bipartite,bipartite_diff,3_cycle_value,generated_3_cycle,3_cycle_diff,4_cycle_value,generated_4_cycle,4_cycle_diff,5_cycle_value,generated_5_cycle,5_cycle_diff,6_cycle_value,generated_6_cycle,6_cycle_diff,7_cycle_value,generated_7_cycle,7_cycle_diff,8_cycle_value,generated_8_cycle,8_cycle_diff,odd_cycles_total_value,generated_odd_cycles_total,odd_cycles_total_diff,even_cycles_total_value,generated_even_cycles_total,even_cycles_total_diff,total_cycles_value,generated_total_cycles,total_cycles_diff,odd_even_ratio_value,generated_odd_even_ratio,odd_even_ratio_diff,odd_total_ratio_value,generated_odd_total_ratio,odd_total_ratio_diff,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct,name,nodes,graph_type_ds,density_category_ds,density_value_ds,var_degree_dist_value_ds,tri_value_ds,bipartite_value_ds,3_cycle_value_ds,4_cycle_value_ds,5_cycle_value_ds,6_cycle_value_ds,7_cycle_value_ds,8_cycle_value_ds,odd_cycles_total_value_ds,even_cycles_total_value_ds,total_cycles_value_ds,odd_even_ratio_value_ds,odd_total_ratio_value_ds
simulation_results/old/legacy_run_params_8N_Bipartite_Medium_LR0.012529922603919507_SIGMA1.4402562057733146_INIT1.9680596739001786_MAX_WEIGHT5,Simulation,8.0,Bipartite,Medium,0.2887,0.5331,0.2444,1.2809,1.1908,-0.09009999999999985,0.0,5.959,5.959,100.0,2.5391,-97.4609,0.0,5.959,5.959,4.0332,26.0488,22.0156,0.0,23.7383,23.7383,2.2952,35.1055,32.8103,0.0,27.4902,27.4902,0.4982,9.4648,8.9666,0.0,57.1875,57.1875,6.8266,70.6191,63.792500000000004,1850.0,127.8066,-1722.1934,0.0,0.7831,0.7831,0.0,0.4292,0.4292,0.0,1.9531,93.75,67.3828,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
evaluation_results/8N_ER/run_20250709_142102/Dense,Evaluation,8.0,ER,Dense,0.7618,0.663,-0.0988,1.1482,1.2091,0.060899999999999954,24.365,16.4883,-7.8767,0.0,0.0,0.0,24.365,16.4883,-7.8767,86.905,54.7871,-32.1179,161.145,87.7227,-73.4223,294.205,145.6934,-148.5116,364.445,166.4824,-197.96259999999998,227.66,97.709,-129.951,549.955,270.6934,-279.26160000000004,608.77,298.1895,-310.5805,231745.0,568.8828,-231176.1172,0.9034,0.9151,0.011700000000000044,0.4746,0.4775,0.002899999999999958,0.0,27.1484,99.8047,87.1094,8.0N_ER_Dense,,,,,,,,,,,,,,,,,,
simulation_results/8N_ER/run_20250709_142102/Dense,Simulation,8.0,ER,Dense,0.7618,0.7003,-0.0615,1.1482,1.1433,-0.0049000000000001265,24.365,19.4043,-4.960699999999999,0.0,0.0,0.0,24.365,19.4043,-4.960699999999999,86.905,66.4414,-20.4636,161.145,114.5781,-46.566900000000004,294.205,201.2168,-92.98819999999998,364.445,242.5234,-121.92159999999998,227.66,149.4199,-78.24009999999998,549.955,376.5059,-173.44910000000004,608.77,417.0781,-191.69189999999998,231745.0,793.584,-230951.416,0.9034,0.9169,0.013500000000000068,0.4746,0.478,0.0033999999999999586,0.0,40.0391,100.0,75.5859,8.0N_ER_Dense,,,,,,,,,,,,,,,,,,
simulation_results/old/legacy_run_params_8N_ER_Dense_LR0.04206675941389984_SIGMA0.7206244967648459_INIT0.5521825859396434_NUMLAYERS1,Simulation,8.0,ER,Dense,0.7618,0.752,-0.009800000000000031,1.1482,0.9921,-0.15610000000000013,24.365,23.916,-0.44899999999999807,0.0,0.0,0.0,24.365,23.916,-0.44899999999999807,86.905,85.8809,-1.0241000000000042,161.145,163.1074,1.9624000000000024,294.205,307.1816,12.976600000000019,364.445,397.082,32.637,227.66,262.5449,34.88489999999999,549.955,584.1055,34.150499999999965,608.77,655.6074,46.8374,231745.0,1239.7129,-230505.2871,0.9034,0.9074,0.0040000000000000036,0.4746,0.4755,0.0008999999999999564,0.1953,61.9141,100.0,57.2266,8.0N_ER_Dense,,,,,,,,,,,,,,,,,,
simulation_results/old/legacy_run_params_8N_ER_Medium_LR0.011220685773844122_SIGMA0.6962179567887462_INIT1.810103830663358_NUMLAYERS5,Simulation,8.0,ER,Medium,0.442,0.4457,0.003699999999999981,1.4612,1.3042,-0.15700000000000003,4.31,4.9844,0.6744000000000003,0.5,2.9297,2.4297,4.31,4.9844,0.6744000000000003,11.295,13.2949,1.9999000000000002,8.58,11.9395,3.3595000000000006,8.075,13.3008,5.225800000000001,4.99,9.9414,4.9514,1.465,3.7852,2.3202,17.88,26.8652,8.985200000000003,20.835,30.3809,9.5459,7743.0,57.2461,-7685.7539,0.8582,18.3811,17.5229,0.4618,0.4549,-0.006899999999999962,0.0,1.1719,100.0,96.0938,8.0N_ER_Medium,,,,,,,,,,,,,,,,,,
simulation_results/old/legacy_run_params_8N_ER_Sparse_LR0.04522709518095061_SIGMA0.6587519702447917_INIT0.17944082088572766_NUMLAYERS1,Simulation,8.0,ER,Sparse,0.2207,0.2257,0.0050000000000000044,1.083,0.9274,-0.15559999999999996,0.565,0.6426,0.0776,51.5,54.4922,2.992199999999997,0.565,0.6426,0.0776,0.555,1.0078,0.4528,0.085,0.3906,0.3056,0.025,0.2148,0.1898,0.005,0.0605,0.0555,0.0,0.0078,0.0078,0.655,1.0938,0.4388000000000001,0.58,1.2305,0.6505,247.0,2.3242,-244.6758,1.1293,175.891,174.7617,0.5304,0.3131,-0.2173,0.0,70.7031,99.8047,47.8516,8.0N_ER_Sparse,,,,,,,,,,,,,,,,,,
simulation_results/8N_ER/run_20250709_142102/Medium,Simulation,8.0,ER,Medium,0.442,0.461,0.019000000000000017,1.4612,1.2721,-0.18910000000000005,4.31,5.5449,1.2349000000000006,0.5,3.125,2.625,4.31,5.5449,1.2349000000000006,11.295,15.2871,3.9921000000000006,8.58,14.9102,6.3302,8.075,17.752,9.677,4.99,14.6426,9.6526,1.465,6.1191,4.654100000000001,17.88,35.0977,17.217700000000004,20.835,39.1582,18.3232,7743.0,74.2559,-7668.7441,0.8582,14.4938,13.6356,0.4618,0.4561,-0.005699999999999983,0.0,3.125,100.0,98.0469,8.0N_ER_Medium,,,,,,,,,,,,,,,,,,
evaluation_results/8N_ER/run_20250709_142102/Medium,Evaluation,8.0,ER,Medium,0.442,0.4648,0.022799999999999987,1.4612,1.3302,-0.131,4.31,5.5312,1.2212000000000005,0.5,1.9531,1.4531,4.31,5.5312,1.2212000000000005,11.295,15.2969,4.001900000000001,8.58,14.1465,5.5665,8.075,15.6445,7.5695000000000014,4.99,11.5176,6.5276,1.465,4.2363,2.7713,17.88,31.1953,13.3153,20.835,35.1777,14.3427,7743.0,66.373,-7676.627,0.8582,14.4979,13.6397,0.4618,0.4596,-0.0021999999999999797,0.0,3.5156,100.0,97.2656,8.0N_ER_Medium,,,,,,,,,,,,,,,,,,
simulation_results/8N_ER/run_20250709_142102/Sparse,Simulation,8.0,ER,Sparse,0.2207,0.2862,0.0655,1.083,1.119,0.03600000000000003,0.565,1.4746,0.9096,51.5,31.8359,-19.6641,0.565,1.4746,0.9096,0.555,2.9062,2.3512,0.085,1.4785,1.3935,0.025,1.0781,1.0531000000000001,0.005,0.5234,0.5184,0.0,0.1387,0.1387,0.655,3.4766,2.8216,0.58,4.123,3.543,247.0,7.5996,-239.4004,1.1293,119.5557,118.4264,0.5304,0.3855,-0.14489999999999997,0.0,41.9922,100.0,72.4609,8.0N_ER_Sparse,,,,,,,,,,,,,,,,,,
evaluation_results/8N_ER/run_20250709_142102/Sparse,Evaluation,8.0,ER,Sparse,0.2207,0.3138,0.09310000000000002,1.083,1.1675,0.08450000000000002,0.565,1.8652,1.3002,51.5,25.7812,-25.7188,0.565,1.8652,1.3002,0.555,4.0391,3.4841,0.085,2.4805,2.3955,0.025,2.1289,2.1039,0.005,1.248,1.243,0.0,0.3945,0.3945,0.655,5.5938,4.9388,0.58,6.5625,5.9825,247.0,12.1562,-234.8438,1.1293,90.3401,89.2108,0.5304,0.3932,-0.1372,0.0,31.6406,100.0,77.5391,8.0N_ER_Sparse,,,,,,,,,,,,,,,,,,
