run_id,run_type,num_nodes,graph_type,density_category,density_value,generated_density,density_diff,var_degree_dist_value,generated_var_degree_dist,var_degree_dist_diff,tri_value,generated_tri,tri_diff,bipartite_value,generated_bipartite,bipartite_diff,3_cycle_value,generated_3_cycle,3_cycle_diff,4_cycle_value,generated_4_cycle,4_cycle_diff,5_cycle_value,generated_5_cycle,5_cycle_diff,6_cycle_value,generated_6_cycle,6_cycle_diff,7_cycle_value,generated_7_cycle,7_cycle_diff,8_cycle_value,generated_8_cycle,8_cycle_diff,odd_cycles_total_value,generated_odd_cycles_total,odd_cycles_total_diff,even_cycles_total_value,generated_even_cycles_total,even_cycles_total_diff,total_cycles_value,generated_total_cycles,total_cycles_diff,odd_even_ratio_value,generated_odd_even_ratio,odd_even_ratio_diff,odd_total_ratio_value,generated_odd_total_ratio,odd_total_ratio_diff,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct,name,nodes,graph_type_ds,density_category_ds,density_value_ds,var_degree_dist_value_ds,tri_value_ds,bipartite_value_ds,3_cycle_value_ds,4_cycle_value_ds,5_cycle_value_ds,6_cycle_value_ds,7_cycle_value_ds,8_cycle_value_ds,odd_cycles_total_value_ds,even_cycles_total_value_ds,total_cycles_value_ds,odd_even_ratio_value_ds,odd_total_ratio_value_ds
simulation_results/8N_Bipartite/run_20250708_220824/Sparse,Simulation,8.0,Bipartite,Sparse,0.2256,0.2675,0.04190000000000002,1.0013,0.9923,-0.009000000000000119,0.0,0.7793,0.7793,100.0,50.5859,-49.4141,0.0,0.7793,0.7793,0.8346,2.3164,1.4817999999999998,0.0,0.9863,0.9863,0.1504,0.7754,0.625,0.0,0.3457,0.3457,0.0,0.0293,0.0293,0.0,2.1113,2.1113,0.985,3.1211,2.1361000000000003,131.0,5.2324,-125.7676,0.0,94.0138,94.0138,0.0,0.2774,0.2774,0.3906,45.5078,99.4141,62.8906,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250715_165138/Sparse,Evaluation,8.0,Bipartite,Sparse,0.2256,0.2539,0.02830000000000002,1.0013,1.061,0.059699999999999864,0.0,0.9766,0.9766,100.0,48.6328,-51.3672,0.0,0.9766,0.9766,0.8346,1.959,1.1244,0.0,0.8633,0.8633,0.1504,0.5742,0.42380000000000007,0.0,0.2266,0.2266,0.0,0.0371,0.0371,0.0,2.0664,2.0664,0.985,2.5703,1.5853000000000002,131.0,4.6367,-126.3633,0.0,123.2862,123.2862,0.0,0.3071,0.3071,0.1953,45.5078,100.0,59.7656,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250714_104340/Medium,Simulation,8.0,Bipartite,Medium,0.2887,0.3144,0.0257,1.2809,1.0365,-0.24439999999999995,0.0,1.1973,1.1973,100.0,35.9375,-64.0625,0.0,1.1973,1.1973,4.0332,3.5059,-0.5272999999999999,0.0,1.4902,1.4902,2.2952,1.3613,-0.9339,0.0,0.6387,0.6387,0.4982,0.1289,-0.36929999999999996,0.0,3.3262,3.3262,6.8266,4.9961,-1.8304999999999998,1850.0,8.3223,-1841.6777,0.0,84.3815,84.3815,0.0,0.3354,0.3354,0.0,35.9375,99.8047,76.7578,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250715_165138/Dense,Evaluation,8.0,Bipartite,Dense,0.311,0.2788,-0.032200000000000006,1.346,1.129,-0.21700000000000008,0.0,1.1172,1.1172,100.0,34.9609,-65.03909999999999,0.0,1.1172,1.1172,5.4368,2.3633,-3.0734999999999997,0.0,1.0273,1.0273,3.5019,0.6367,-2.8651999999999997,0.0,0.252,0.252,0.7893,0.0234,-0.7659,0.0,2.3965,2.3965,9.728,3.0234,-6.704599999999999,2539.0,5.4199,-2533.5801,0.0,129.2672,129.2672,0.0,0.3749,0.3749,0.0,25.7812,100.0,68.9453,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250714_104340/Dense,Simulation,8.0,Bipartite,Dense,0.311,0.3308,0.019799999999999984,1.346,1.0276,-0.3184,0.0,1.3027,1.3027,100.0,34.5703,-65.4297,0.0,1.3027,1.3027,5.4368,4.5449,-0.8918999999999997,0.0,1.9238,1.9238,3.5019,1.8672,-1.6347,0.0,0.8594,0.8594,0.7893,0.1758,-0.6134999999999999,0.0,4.0859,4.0859,9.728,6.5879,-3.1400999999999994,2539.0,10.6738,-2528.3262,0.0,47.3418,47.3418,0.0,0.3181,0.3181,0.0,29.2969,99.6094,78.3203,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250714_104340/Sparse,Evaluation,8.0,Bipartite,Sparse,0.2256,0.3039,0.07830000000000001,1.0013,1.1832,0.18189999999999995,0.0,1.3926,1.3926,100.0,33.5938,-66.4062,0.0,1.3926,1.3926,0.8346,3.6543,2.8197,0.0,1.9297,1.9297,0.1504,1.4375,1.2871,0.0,0.6523,0.6523,0.0,0.1328,0.1328,0.0,3.9746,3.9746,0.985,5.2246,4.239599999999999,131.0,9.1992,-121.8008,0.0,88.3212,88.3212,0.0,0.3533,0.3533,0.0,28.125,99.8047,75.7812,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250709_142105/Sparse,Evaluation,8.0,Bipartite,Sparse,0.2256,0.2937,0.06810000000000002,1.0013,1.1556,0.15429999999999988,0.0,1.2949,1.2949,100.0,31.8359,-68.1641,0.0,1.2949,1.2949,0.8346,3.0293,2.1947,0.0,1.4453,1.4453,0.1504,1.0254,0.8750000000000001,0.0,0.3926,0.3926,0.0,0.0801,0.0801,0.0,3.1328,3.1328,0.985,4.1348,3.1498000000000004,131.0,7.2676,-123.7324,0.0,105.8837,105.8837,0.0,0.373,0.373,0.0,26.9531,100.0,75.5859,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250715_165138/Medium,Evaluation,8.0,Bipartite,Medium,0.2887,0.3066,0.01789999999999997,1.2809,1.0889,-0.19199999999999995,0.0,1.3672,1.3672,100.0,31.6406,-68.3594,0.0,1.3672,1.3672,4.0332,3.2695,-0.7637,0.0,1.6191,1.6191,2.2952,1.2363,-1.0589,0.0,0.5762,0.5762,0.4982,0.1836,-0.3146,0.0,3.5625,3.5625,6.8266,4.6895,-2.1371,1850.0,8.252,-1841.748,0.0,103.9351,103.9351,0.0,0.3711,0.3711,0.1953,31.0547,100.0,76.9531,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250709_142105/Medium,Simulation,8.0,Bipartite,Medium,0.2887,0.3313,0.04259999999999997,1.2809,1.0955,-0.1854,0.0,1.4727,1.4727,100.0,30.8594,-69.1406,0.0,1.4727,1.4727,4.0332,4.4902,0.45699999999999985,0.0,2.166,2.166,2.2952,2.1465,-0.14869999999999983,0.0,0.9707,0.9707,0.4982,0.2324,-0.2658,0.0,4.6094,4.6094,6.8266,6.8691,0.042500000000000426,1850.0,11.4785,-1838.5215,0.0,59.0814,59.0814,0.0,0.3451,0.3451,0.0,30.4688,99.8047,81.4453,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250708_220824/Sparse,Evaluation,8.0,Bipartite,Sparse,0.2256,0.305,0.0794,1.0013,1.1411,0.13979999999999992,0.0,1.4785,1.4785,100.0,30.2734,-69.7266,0.0,1.4785,1.4785,0.8346,3.4961,2.6615,0.0,1.9043,1.9043,0.1504,1.5176,1.3672,0.0,0.7969,0.7969,0.0,0.1465,0.1465,0.0,4.1797,4.1797,0.985,5.1602,4.175199999999999,131.0,9.3398,-121.6602,0.0,86.409,86.409,0.0,0.3713,0.3713,0.0,25.9766,100.0,75.5859,8.0N_Bipartite_Sparse,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250709_142105/Dense,Simulation,8.0,Bipartite,Dense,0.311,0.3503,0.0393,1.346,1.0737,-0.2723,0.0,1.543,1.543,100.0,29.6875,-70.3125,0.0,1.543,1.543,5.4368,5.6074,0.1706000000000003,0.0,2.7168,2.7168,3.5019,2.6875,-0.8144,0.0,1.334,1.334,0.7893,0.293,-0.4963,0.0,5.5938,5.5938,9.728,8.5879,-1.1401000000000003,2539.0,14.1816,-2524.8184,0.0,31.7573,31.7573,0.0,0.3246,0.3246,0.0,26.7578,100.0,85.9375,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250708_220824/Medium,Simulation,8.0,Bipartite,Medium,0.2887,0.3324,0.04369999999999996,1.2809,1.0685,-0.21239999999999992,0.0,1.4062,1.4062,100.0,29.2969,-70.7031,0.0,1.4062,1.4062,4.0332,4.6387,0.6055000000000001,0.0,2.1602,2.1602,2.2952,2.2012,-0.09399999999999986,0.0,1.0645,1.0645,0.4982,0.2832,-0.21499999999999997,0.0,4.6309,4.6309,6.8266,7.123,0.2964000000000002,1850.0,11.7539,-1838.2461,0.0,72.7215,72.7215,0.0,0.3533,0.3533,0.0,28.125,100.0,79.4922,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
simulation_results/8N_Bipartite/run_20250708_220824/Dense,Simulation,8.0,Bipartite,Dense,0.311,0.3511,0.040100000000000025,1.346,1.0791,-0.26690000000000014,0.0,1.6836,1.6836,100.0,24.6094,-75.3906,0.0,1.6836,1.6836,5.4368,5.6074,0.1706000000000003,0.0,3.002,3.002,3.5019,2.8691,-0.6328,0.0,1.4492,1.4492,0.7893,0.3457,-0.4436,0.0,6.1348,6.1348,9.728,8.8223,-0.9056999999999995,2539.0,14.957,-2524.043,0.0,49.3582,49.3582,0.0,0.3599,0.3599,0.3906,21.2891,99.6094,83.7891,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250714_104340/Dense,Evaluation,8.0,Bipartite,Dense,0.311,0.354,0.04299999999999998,1.346,1.1412,-0.2048000000000001,0.0,2.127,2.127,100.0,19.5312,-80.4688,0.0,2.127,2.127,5.4368,5.9395,0.5026999999999999,0.0,3.7305,3.7305,3.5019,3.7129,0.21099999999999985,0.0,2.1973,2.1973,0.7893,0.6836,-0.10570000000000002,0.0,8.0547,8.0547,9.728,10.3359,0.6079000000000008,2539.0,18.3906,-2520.6094,0.0,43.571,43.571,0.0,0.3862,0.3862,0.0,17.3828,100.0,84.9609,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250714_104340/Medium,Evaluation,8.0,Bipartite,Medium,0.2887,0.3567,0.068,1.2809,1.1906,-0.09029999999999982,0.0,2.248,2.248,100.0,17.7734,-82.2266,0.0,2.248,2.248,4.0332,5.9648,1.9316000000000004,0.0,3.584,3.584,2.2952,3.1543,0.8591000000000002,0.0,1.8516,1.8516,0.4982,0.5762,0.07800000000000007,0.0,7.6836,7.6836,6.8266,9.6953,2.8686999999999996,1850.0,17.3789,-1832.6211,0.0,65.0437,65.0437,0.0,0.4092,0.4092,0.0,17.1875,100.0,89.6484,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250709_142105/Medium,Evaluation,8.0,Bipartite,Medium,0.2887,0.3732,0.08449999999999996,1.2809,1.2441,-0.036799999999999944,0.0,2.5137,2.5137,100.0,17.5781,-82.4219,0.0,2.5137,2.5137,4.0332,7.1426,3.1094,0.0,4.4961,4.4961,2.2952,4.1367,1.8415000000000004,0.0,2.2578,2.2578,0.4982,0.5176,0.019399999999999973,0.0,9.2676,9.2676,6.8266,11.7969,4.970300000000001,1850.0,21.0645,-1828.9355,0.0,43.5866,43.5866,0.0,0.3948,0.3948,0.0,16.9922,100.0,91.9922,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250708_220824/Dense,Evaluation,8.0,Bipartite,Dense,0.311,0.3742,0.06319999999999998,1.346,1.1724,-0.17359999999999998,0.0,2.3906,2.3906,100.0,16.2109,-83.7891,0.0,2.3906,2.3906,5.4368,6.9238,1.487,0.0,4.3652,4.3652,3.5019,4.0898,0.5879000000000003,0.0,2.4102,2.4102,0.7893,0.582,-0.20730000000000004,0.0,9.166,9.166,9.728,11.5957,1.867700000000001,2539.0,20.7617,-2518.2383,0.0,27.997,27.997,0.0,0.3914,0.3914,0.0,14.2578,100.0,89.4531,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250709_142105/Dense,Evaluation,8.0,Bipartite,Dense,0.311,0.382,0.07100000000000001,1.346,1.1731,-0.17290000000000005,0.0,2.6367,2.6367,100.0,14.6484,-85.3516,0.0,2.6367,2.6367,5.4368,7.5918,2.1550000000000002,0.0,5.082,5.082,3.5019,5.1191,1.6172000000000004,0.0,3.2051,3.2051,0.7893,0.9863,0.19699999999999995,0.0,10.9238,10.9238,9.728,13.6973,3.9693000000000005,2539.0,24.6211,-2514.3789,0.0,31.904,31.904,0.0,0.3979,0.3979,0.1953,13.0859,100.0,90.2344,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
evaluation_results/8N_Bipartite/run_20250708_220824/Medium,Evaluation,8.0,Bipartite,Medium,0.2887,0.3707,0.08199999999999996,1.2809,1.2256,-0.055299999999999905,0.0,2.5273,2.5273,100.0,14.2578,-85.7422,0.0,2.5273,2.5273,4.0332,6.7012,2.668,0.0,4.2383,4.2383,2.2952,3.9766,1.6814,0.0,2.4219,2.4219,0.4982,0.7871,0.28890000000000005,0.0,9.1875,9.1875,6.8266,11.4648,4.6382,1850.0,20.6523,-1829.3477,0.0,59.2047,59.2047,0.0,0.4181,0.4181,0.1953,13.4766,100.0,92.1875,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
evaluation_results/old/legacy_run_params_8N_Bipartite_Medium_LR0.003551614405932626_SIGMA1.3352557243570238_INIT0.8853914111571922_NUMLAYERS5,Evaluation,8.0,Bipartite,Medium,0.2887,0.3638,0.0751,1.2809,1.2712,-0.00969999999999982,0.0,2.5371,2.5371,100.0,13.0859,-86.9141,0.0,2.5371,2.5371,4.0332,6.5684,2.5351999999999997,0.0,4.4922,4.4922,2.2952,4.0527,1.7574999999999998,0.0,2.4141,2.4141,0.4982,0.7676,0.2694,0.0,9.4434,9.4434,6.8266,11.3887,4.5621,1850.0,20.832,-1829.168,0.0,53.4001,53.4001,0.0,0.4285,0.4285,0.1953,12.3047,100.0,91.2109,8.0N_Bipartite_Medium,,,,,,,,,,,,,,,,,,
evaluation_results/old/legacy_run_params_8N_Bipartite_Dense_LR0.0018973825577720538_SIGMA1.3106607895258173_INIT0.1942402847384792_NUMLAYERS3,Evaluation,8.0,Bipartite,Dense,0.311,0.3624,0.0514,1.346,1.2583,-0.08770000000000011,0.0,2.3711,2.3711,100.0,12.8906,-87.1094,0.0,2.3711,2.3711,5.4368,6.3086,0.8718000000000004,0.0,3.8809,3.8809,3.5019,3.3789,-0.12300000000000022,0.0,1.8906,1.8906,0.7893,0.5039,-0.2854,0.0,8.1426,8.1426,9.728,10.1914,0.46340000000000003,2539.0,18.334,-2520.666,0.0,49.4739,49.4739,0.0,0.4185,0.4185,0.0,10.9375,99.8047,90.8203,8.0N_Bipartite_Dense,,,,,,,,,,,,,,,,,,
