run_id,run_type,num_nodes,graph_type,density_category,generated_density,density_value,mmd_density,generated_var_degree_dist,var_degree_dist_value,mmd_var_degree_dist,generated_tri,tri_value,mmd_tri,generated_bipartite,bipartite_value,mmd_bipartite,mmd_samples,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/14N_Bipartite/run_20250716_213333/Dense,Evaluation,14,Bipartite,Dense,0.4961,0.3727,0.5283,3.7469,3.3260,0.1469,44.3398,0.0000,1.0487,0.0000,1.0000,0.7869,0.0763,0.0000,0.0000,100.0000,100.0000
evaluation_results/14N_Bipartite/run_20250716_213333/Medium,Evaluation,14,Bipartite,Medium,0.2471,0.2084,0.0928,2.2096,2.1313,0.0095,5.6680,0.0000,1.0207,0.0078,1.0000,0.7747,0.0507,0.0000,0.0000,100.0000,100.0000
evaluation_results/14N_Bipartite/run_20250716_213333/Sparse,Evaluation,14,Bipartite,Sparse,0.3830,0.1042,0.8230,2.8993,1.1610,0.5642,20.4961,0.0000,1.0782,0.0000,1.0000,0.7869,0.2403,0.0000,0.0000,100.0000,100.0000
evaluation_results/14N_ER/run_20250716_212010/Dense,Evaluation,14,ER,Dense,0.7186,0.8145,0.3699,2.3420,1.6712,0.1308,135.8848,199.4100,0.3599,0.0000,0.0000,0.0000,0.0324,0.0000,0.0000,100.0000,100.0000
evaluation_results/14N_ER/run_20250716_212010/Medium,Evaluation,14,ER,Medium,0.5452,0.4487,0.4057,2.7630,2.7076,0.0009,59.0156,33.3580,0.3744,0.0000,0.0000,0.0000,0.0127,0.0000,0.0000,100.0000,100.0000
evaluation_results/14N_ER/run_20250716_212010/Sparse,Evaluation,14,ER,Sparse,0.2758,0.1575,0.6743,2.3363,1.4724,0.2031,7.8066,1.6350,0.3637,0.0000,0.2790,0.0611,0.0464,0.0000,0.0000,100.0000,100.0000
