run_id,run_type,dataset_name,num_nodes,model,num_samples,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,generated_mean_degree,dataset_mean_degree,generated_std_degree,dataset_std_degree,gen_avg_clustering_coeff,dataset_avg_clustering_coeff,gen_avg_shortest_path,dataset_avg_shortest_path,edge_prob_diff,mean_degree_diff,std_degree_diff,clustering_coeff_diff,avg_shortest_path_diff
evaluation_results/14N_Bipartite/run_20250716_213333/Medium,Evaluation,14N_Bipartite_Medium,14,Medium,512,0.7812,100,0.2471,0.2084,3.2118,2.7096,1.4582,1.6521,0.2193,0,2.1402,2.2651,0.0386,0.5022,0.1939,0.2193,0.1249
evaluation_results/14N_Bipartite/run_20250716_213333/Sparse,Evaluation,14N_Bipartite_Sparse,14,Sparse,512,0,100,0.383,0.1042,4.9794,1.3545,1.6736,1.124,0.3687,0,1.7112,2.388,0.2788,3.6249,0.5496,0.3687,0.6769
evaluation_results/14N_ER/run_20250716_212010/Dense,Evaluation,14N_ER_Dense,14,Dense,512,0,0,0.7186,0.8145,9.3412,10.588,1.5042,1.5603,0.7211,0.8151,1.2815,1.1855,0.0959,1.2468,0.0561,0.0941,0.0959
evaluation_results/14N_ER/run_20250716_212010/Medium,Evaluation,14N_ER_Medium,14,Medium,512,0,0,0.5452,0.4487,7.0882,5.8337,1.6367,1.8337,0.5455,0.4441,1.4614,1.5928,0.0965,1.2545,0.197,0.1014,0.1314
evaluation_results/14N_ER/run_20250716_212010/Sparse,Evaluation,14N_ER_Sparse,14,Sparse,512,0,27.9,0.2758,0.1575,3.5848,2.0469,1.4974,1.3919,0.2507,0.1045,2.0328,2.3979,0.1183,1.538,0.1055,0.1462,0.3651
evaluation_results/18N_Bipartite/old_hpo1/Dense,Evaluation,18N_Bipartite_Dense,18,Dense,512,0,100,0.4213,0.3697,7.1625,6.2841,2.2115,2.8588,0.4273,0,1.6026,1.7198,0.0517,0.8785,0.6473,0.4273,0.1172
evaluation_results/18N_Bipartite/old_hpo1/Medium,Evaluation,18N_Bipartite_Medium,18,Medium,512,0.1953,100,0.2413,0.1967,4.1013,3.3441,1.8461,2.0236,0.1903,0,2.0642,2.2788,0.0445,0.7572,0.1775,0.1903,0.2146
evaluation_results/18N_Bipartite/old_hpo1/Sparse,Evaluation,18N_Bipartite_Sparse,18,Sparse,512,2.1484,100,0.1532,0.0747,2.6039,1.2702,1.4419,1.1675,0.1151,0,2.6119,2.5455,0.0785,1.3338,0.2744,0.1151,0.0664
evaluation_results/18N_Bipartite/old_hpo1 copy/Dense,Evaluation,18N_Bipartite_Dense,18,Dense,512,0,100,0.4369,0.3697,7.428,6.2841,2.2037,2.8588,0.4393,0,1.5812,1.7198,0.0673,1.1439,0.6551,0.4393,0.1386
evaluation_results/18N_Bipartite/old_hpo1 copy/Medium,Evaluation,18N_Bipartite_Medium,18,Medium,512,0.1953,100,0.2425,0.1967,4.1224,3.3441,1.8576,2.0236,0.1957,0,2.0489,2.2788,0.0458,0.7783,0.166,0.1957,0.2299
evaluation_results/18N_Bipartite/old_hpo1 copy/Sparse,Evaluation,18N_Bipartite_Sparse,18,Sparse,512,25.7812,100,0.1005,0.0747,1.7086,1.2702,1.3019,1.1675,0.0704,0,2.6795,2.5455,0.0258,0.4384,0.1344,0.0704,0.1341
evaluation_results/18N_Bipartite/old_hpo1 copy 2/Dense,Evaluation,18N_Bipartite_Dense,18,Dense,512,0,100,0.4148,0.3697,7.0514,6.2841,2.1735,2.8588,0.4125,0,1.611,1.7198,0.0451,0.7673,0.6853,0.4125,0.1088
evaluation_results/18N_Bipartite/old_hpo1 copy 2/Medium,Evaluation,18N_Bipartite_Medium,18,Medium,512,0,100,0.2484,0.1967,4.222,3.3441,1.8945,2.0236,0.2171,0,2.0155,2.2788,0.0516,0.8779,0.1292,0.2171,0.2634
