run_id,run_type,dataset_name,num_nodes,model,num_samples,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,generated_mean_degree,dataset_mean_degree,generated_std_degree,dataset_std_degree,gen_avg_clustering_coeff,dataset_avg_clustering_coeff,gen_avg_shortest_path,dataset_avg_shortest_path,edge_prob_diff,mean_degree_diff,std_degree_diff,clustering_coeff_diff,avg_shortest_path_diff
evaluation_results/old/legacy_run_params_18N_ER_Medium_LR0.006024583114622832_SIGMA0.9479329656586278_INIT0.5279665377909606_NUMLAYERS2,Evaluation,18N_ER_Medium,18,legacy_run_params_18N_ER_Medium_LR0.006024583114622832_SIGMA0.9479329656586278_INIT0.5279665377909606_NUMLAYERS2,512,0,0,0.463,0.4428,7.8704,7.5274,1.928,2.2226,0.4636,0.4432,1.5482,1.5813,0.0202,0.343,0.2946,0.0204,0.0331
evaluation_results/old/legacy_run_params_18N_ER_Sparse_LR0.0018098218999634472_SIGMA0.7869622729288522_INIT0.7815394432771323_NUMLAYERS2,Evaluation,18N_ER_Sparse,18,legacy_run_params_18N_ER_Sparse_LR0.0018098218999634472_SIGMA0.7869622729288522_INIT0.7815394432771323_NUMLAYERS2,512,0,17.7,0.2894,0.1497,4.9201,2.5446,1.7916,1.6892,0.29,0.1135,1.8886,2.5259,0.1397,2.3756,0.1024,0.1765,0.6372
evaluation_results/old/legacy_run_params_8N_Bipartite_Dense_LR0.0018973825577720538_SIGMA1.3106607895258173_INIT0.1942402847384792_NUMLAYERS3,Evaluation,8N_Bipartite_Dense,8,legacy_run_params_8N_Bipartite_Dense_LR0.0018973825577720538_SIGMA1.3106607895258173_INIT0.1942402847384792_NUMLAYERS3,512,12.8906,100,0.3624,0.311,2.5371,2.1772,1.0926,1.1602,0.2572,0,1.8105,1.9132,0.0514,0.3599,0.0676,0.2572,0.1026
evaluation_results/old/legacy_run_params_8N_Bipartite_Medium_LR0.003551614405932626_SIGMA1.3352557243570238_INIT0.8853914111571922_NUMLAYERS5,Evaluation,8N_Bipartite_Medium,8,legacy_run_params_8N_Bipartite_Medium_LR0.003551614405932626_SIGMA1.3352557243570238_INIT0.8853914111571922_NUMLAYERS5,512,13.0859,100,0.3638,0.2887,2.5469,2.0212,1.0976,1.1318,0.2712,0,1.8047,1.9038,0.0751,0.5257,0.0342,0.2712,0.0991
simulation_results/8N_Bipartite/run_20250708_220824/Dense,Simulation,8N_Bipartite_Dense,8,Dense,512,24.6094,100,0.3511,0.311,2.458,2.1772,1.0091,1.1602,0.1846,0,1.8545,1.9132,0.0401,0.2808,0.1511,0.1846,0.0587
simulation_results/8N_Bipartite/run_20250708_220824/Medium,Simulation,8N_Bipartite_Medium,8,Medium,512,29.2969,100,0.3324,0.2887,2.3267,2.0212,1.0054,1.1318,0.1722,0,1.8683,1.9038,0.0436,0.3054,0.1263,0.1722,0.0355
simulation_results/8N_Bipartite/run_20250708_220824/Sparse,Simulation,8N_Bipartite_Sparse,8,Sparse,512,50.5859,100,0.2675,0.2256,1.8726,1.5789,0.9652,1.0006,0.1115,0,1.8949,1.9347,0.0419,0.2936,0.0354,0.1115,0.0398
simulation_results/8N_Bipartite/run_20250709_142105/Dense,Simulation,8N_Bipartite_Dense,8,Dense,512,29.6875,100,0.3503,0.311,2.4521,2.1772,1.0101,1.1602,0.1723,0,1.8617,1.9132,0.0393,0.2749,0.1501,0.1723,0.0514
simulation_results/8N_Bipartite/run_20250709_142105/Medium,Simulation,8N_Bipartite_Medium,8,Medium,512,30.8594,100,0.3313,0.2887,2.3193,2.0212,1.0167,1.1318,0.1796,0,1.885,1.9038,0.0426,0.2981,0.115,0.1796,0.0188
simulation_results/8N_Bipartite/run_20250709_142105/Sparse,Simulation,8N_Bipartite_Sparse,8,Sparse,512,62.3047,100,0.255,0.2256,1.7847,1.5789,0.9745,1.0006,0.0816,0,1.9183,1.9347,0.0294,0.2057,0.0262,0.0816,0.0164
simulation_results/8N_Bipartite/run_20250714_104340/Dense,Simulation,8N_Bipartite_Dense,8,Dense,512,34.5703,100,0.3308,0.311,2.3154,2.1772,0.9853,1.1602,0.1548,0,1.8932,1.9132,0.0197,0.1382,0.1749,0.1548,0.0199
simulation_results/8N_Bipartite/run_20250714_104340/Medium,Simulation,8N_Bipartite_Medium,8,Medium,512,35.9375,100,0.3144,0.2887,2.2007,2.0212,0.9896,1.1318,0.1587,0,1.9214,1.9038,0.0256,0.1795,0.1422,0.1587,0.0176
simulation_results/8N_Bipartite/run_20250714_104340/Sparse,Simulation,8N_Bipartite_Sparse,8,Sparse,512,54.8828,100,0.2618,0.2256,1.8325,1.5789,0.9805,1.0006,0.1038,0,1.8989,1.9347,0.0362,0.2536,0.0202,0.1038,0.0358
simulation_results/8N_Bipartite/run_20250715_165138/Dense,Simulation,8N_Bipartite_Dense,8,Dense,512,63.0859,100,0.2403,0.311,1.6821,2.1772,0.9349,1.1602,0.0876,0,1.9243,1.9132,0.0707,0.4951,0.2253,0.0876,0.0111
simulation_results/8N_Bipartite/run_20250715_165138/Medium,Simulation,8N_Bipartite_Medium,8,Medium,512,52.1484,100,0.2704,0.2887,1.8926,2.0212,0.9722,1.1318,0.1153,0,1.9013,1.9038,0.0184,0.1286,0.1596,0.1153,0.0025
simulation_results/8N_Bipartite/run_20250715_165138/Sparse,Simulation,8N_Bipartite_Sparse,8,Sparse,512,69.3359,100,0.2255,0.2256,1.5786,1.5789,0.931,1.0006,0.0589,0,1.877,1.9347,0,0.0003,0.0696,0.0589,0.0577
simulation_results/8N_ER/run_20250709_142102/Dense,Simulation,8N_ER_Dense,8,Dense,512,0,0,0.7003,0.7618,4.9023,5.3325,1.0372,1.0715,0.7027,0.7648,1.3045,1.2386,0.0615,0.4302,0.0343,0.0621,0.066
simulation_results/8N_ER/run_20250709_142102/Medium,Simulation,8N_ER_Medium,8,Medium,512,3.125,0.5,0.461,0.442,3.2271,3.0938,1.0951,1.2088,0.4138,0.3886,1.6315,1.669,0.019,0.1333,0.1137,0.0251,0.0375
simulation_results/8N_ER/run_20250709_142102/Sparse,Simulation,8N_ER_Sparse,8,Sparse,512,31.8359,51.5,0.2862,0.2207,2.0034,1.545,1.0221,1.0407,0.1977,0.1312,1.8496,1.7864,0.0655,0.4584,0.0185,0.0665,0.0632
simulation_results/old/legacy_run_params_8N_Bipartite_Dense_LR0.0018973825577720538_SIGMA1.3106607895258173_INIT0.1942402847384792_NUMLAYERS3,Simulation,8N_Bipartite_Dense,8,legacy_run_params_8N_Bipartite_Dense_LR0.0018973825577720538_SIGMA1.3106607895258173_INIT0.1942402847384792_NUMLAYERS3,512,50.7812,100,0.3164,0.311,2.2148,2.1772,0.9797,1.1602,0.1043,0,1.9156,1.9132,0.0054,0.0376,0.1805,0.1043,0.0025
simulation_results/old/legacy_run_params_8N_Bipartite_Medium_LR0.003551614405932626_SIGMA1.3352557243570238_INIT0.8853914111571922_NUMLAYERS5,Simulation,8N_Bipartite_Medium,8,legacy_run_params_8N_Bipartite_Medium_LR0.003551614405932626_SIGMA1.3352557243570238_INIT0.8853914111571922_NUMLAYERS5,512,54.8828,100,0.3008,0.2887,2.1055,2.0212,0.9824,1.1318,0.1011,0,1.9172,1.9038,0.012,0.0843,0.1494,0.1011,0.0134
simulation_results/old/legacy_run_params_8N_Bipartite_Medium_LR0.012529922603919507_SIGMA1.4402562057733146_INIT1.9680596739001786_MAX_WEIGHT5,Simulation,8N_Bipartite_Medium,8,legacy_run_params_8N_Bipartite_Medium_LR0.012529922603919507_SIGMA1.4402562057733146_INIT1.9680596739001786_MAX_WEIGHT5,512,2.5391,100,0.5331,0.2887,3.7319,2.0212,1.0608,1.1318,0.3644,0,1.5033,1.9038,0.2444,1.7107,0.0709,0.3644,0.4005
simulation_results/old/legacy_run_params_8N_Bipartite_Sparse_LR0.0036836339453192304_SIGMA0.7428271054083595_INIT0.205636617535598_NUMLAYERS4,Simulation,8N_Bipartite_Sparse,8,legacy_run_params_8N_Bipartite_Sparse_LR0.0036836339453192304_SIGMA0.7428271054083595_INIT0.205636617535598_NUMLAYERS4,512,77.3438,100,0.2261,0.2256,1.5825,1.5789,0.9215,1.0006,0.0452,0,1.9347,1.9347,0.0005,0.0036,0.0792,0.0452,0
simulation_results/old/legacy_run_params_8N_Bipartite_Sparse_LR0.008104680980277149_SIGMA0.5060057247547819_INIT0.7277470256132488_MAXWEIGHT3,Simulation,8N_Bipartite_Sparse,8,legacy_run_params_8N_Bipartite_Sparse_LR0.008104680980277149_SIGMA0.5060057247547819_INIT0.7277470256132488_MAXWEIGHT3,512,75,100,0.2066,0.2256,1.4463,1.5789,0.8709,1.0006,0.047,0,1.8246,1.9347,0.019,0.1327,0.1297,0.047,0.1101
simulation_results/old/legacy_run_params_8N_Bipartite_Sparse_LR0.042174583320667126_SIGMA0.8175072163174264_INIT1.0464881642904231_NUMLAYERS1,Simulation,8N_Bipartite_Sparse,8,legacy_run_params_8N_Bipartite_Sparse_LR0.042174583320667126_SIGMA0.8175072163174264_INIT1.0464881642904231_NUMLAYERS1,512,75.3906,100,0.2311,0.2256,1.6177,1.5789,0.9209,1.0006,0.0493,0,1.9131,1.9347,0.0055,0.0387,0.0798,0.0493,0.0216
simulation_results/old/legacy_run_params_8N_ER_Dense_LR0.04206675941389984_SIGMA0.7206244967648459_INIT0.5521825859396434_NUMLAYERS1,Simulation,8N_ER_Dense,8,legacy_run_params_8N_ER_Dense_LR0.04206675941389984_SIGMA0.7206244967648459_INIT0.5521825859396434_NUMLAYERS1,512,0,0,0.752,0.7618,5.2642,5.3325,0.9633,1.0715,0.752,0.7648,1.2496,1.2386,0.0098,0.0683,0.1083,0.0128,0.011
simulation_results/old/legacy_run_params_8N_ER_Medium_LR0.011220685773844122_SIGMA0.6962179567887462_INIT1.810103830663358_NUMLAYERS5,Simulation,8N_ER_Medium,8,legacy_run_params_8N_ER_Medium_LR0.011220685773844122_SIGMA0.6962179567887462_INIT1.810103830663358_NUMLAYERS5,512,2.9297,0.5,0.4457,0.442,3.1201,3.0938,1.1064,1.2088,0.3956,0.3886,1.6627,1.669,0.0038,0.0264,0.1024,0.007,0.0063
simulation_results/old/legacy_run_params_8N_ER_Sparse_LR0.04522709518095061_SIGMA0.6587519702447917_INIT0.17944082088572766_NUMLAYERS1,Simulation,8N_ER_Sparse,8,legacy_run_params_8N_ER_Sparse_LR0.04522709518095061_SIGMA0.6587519702447917_INIT0.17944082088572766_NUMLAYERS1,512,54.4922,51.5,0.2257,0.2207,1.5796,1.545,0.9297,1.0407,0.1134,0.1312,1.8564,1.7864,0.0049,0.0346,0.111,0.0178,0.07
