run_id,run_type,num_nodes,graph_type,density_category,generated_density,density_value,mmd_density,generated_var_degree_dist,var_degree_dist_value,mmd_var_degree_dist,generated_tri,tri_value,mmd_tri,generated_spectral_ev_1,spectral_ev_1_value,mmd_spectral_ev_1,generated_spectral_ev_2,spectral_ev_2_value,mmd_spectral_ev_2,generated_spectral_ev_3,spectral_ev_3_value,mmd_spectral_ev_3,generated_spectral_ev_4,spectral_ev_4_value,mmd_spectral_ev_4,generated_spectral_ev_5,spectral_ev_5_value,mmd_spectral_ev_5,generated_bipartite,bipartite_value,mmd_samples,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/14N_Bipartite/run_20250716_213333/Medium,Evaluation,14,Bipartite,Medium,0.2471,0.2084,,2.2096,2.7295,0.1291,5.6680,0.0000,0.6537,1.3375,0.9645,1.5868,1.4642,1.0209,1.4184,1.5842,1.3186,0.3091,1.7031,1.6716,0.0536,1.8220,1.9900,0.9199,0.7812,100.0000,0.0479,0.0000,0.0000,100.0000,100.0000
evaluation_results/14N_Bipartite/run_20250716_213333/Sparse,Evaluation,14,Bipartite,Sparse,0.3830,0.1042,,2.8993,1.2634,0.4395,20.4961,0.0000,1.0043,1.2602,0.8520,1.3643,1.3512,1.0024,1.3293,1.4454,1.4153,0.6241,1.5466,1.8094,0.9506,1.6699,1.9900,1.5828,0.0000,100.0000,0.1783,0.0000,0.0000,100.0000,100.0000
evaluation_results/14N_ER/run_20250716_212010/Dense,Evaluation,14,ER,Dense,0.7186,0.8145,,2.3420,2.4347,0.1212,135.8848,199.4100,0.3560,1.1589,1.1288,0.1815,1.2040,1.1667,0.1997,1.2523,1.2062,0.2710,1.3074,1.2494,0.3088,1.3809,1.3062,0.3369,0.0000,0.0000,0.0306,0.0000,0.0000,100.0000,100.0000
evaluation_results/14N_ER/run_20250716_212010/Medium,Evaluation,14,ER,Medium,0.5452,0.4487,,2.7630,3.3625,-0.0003,59.0156,33.3580,0.4072,1.2077,1.2436,0.1386,1.2742,1.3226,0.2195,1.3408,1.4020,0.2840,1.4153,1.4881,0.2954,1.5055,1.5957,0.2889,0.0000,0.0000,0.0127,0.0000,0.0000,100.0000,100.0000
evaluation_results/14N_ER/run_20250716_212010/Sparse,Evaluation,14,ER,Sparse,0.2758,0.1575,,2.3363,1.9375,0.2149,7.8066,1.6350,0.4928,1.3222,1.2874,0.2078,1.4351,1.5019,0.2065,1.5478,1.7097,0.3791,1.6659,1.8591,0.5321,1.7854,1.9408,0.6046,0.0000,27.9000,0.0415,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1/Dense,Evaluation,18,Bipartite,Dense,0.4213,0.3697,,4.9925,8.1728,1.1307,61.6465,0.0000,1.4440,1.2701,1.0000,1.7961,1.3295,1.0735,1.1533,1.3911,1.1950,0.6590,1.4659,1.3542,0.3372,1.5850,2.0000,1.7962,0.0000,100.0000,0.0975,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1/Medium,Evaluation,18,Bipartite,Medium,0.2413,0.1967,,3.4942,4.0951,0.1776,9.6133,0.0000,0.8057,1.3825,0.9800,1.7512,1.4706,1.1626,0.6512,1.5633,1.4119,0.1425,1.6663,1.6686,0.1165,1.8116,2.0000,1.1875,0.1953,100.0000,0.0335,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1/Sparse,Evaluation,18,Bipartite,Sparse,0.1532,0.0747,,2.1367,1.3631,0.2510,2.9922,0.0000,0.6403,1.4964,0.8922,1.5696,1.6079,1.1659,0.7471,1.7175,1.5716,0.2762,1.8106,1.8711,0.4850,1.8992,1.9900,0.7358,2.1484,100.0000,0.1292,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy/Dense,Evaluation,18,Bipartite,Dense,0.4369,0.3697,,4.9510,8.1728,1.1467,68.6621,0.0000,1.4152,1.2648,1.0000,1.7959,1.3213,1.0735,1.1411,1.3846,1.1950,0.6205,1.4569,1.3542,0.2922,1.5672,2.0000,1.7967,0.0000,100.0000,0.1050,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy/Medium,Evaluation,18,Bipartite,Medium,0.2425,0.1967,,3.5319,4.0951,0.1784,9.9492,0.0000,0.8726,1.3830,0.9800,1.7591,1.4701,1.1626,0.6541,1.5613,1.4119,0.1571,1.6610,1.6686,0.1452,1.8033,2.0000,1.2678,0.1953,100.0000,0.0340,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy/Sparse,Evaluation,18,Bipartite,Sparse,0.1005,0.0747,,1.7451,1.3631,0.1004,1.1934,0.0000,0.4046,1.4886,0.8922,1.0940,1.6587,1.1659,0.6952,1.7999,1.5716,0.1752,1.9076,1.8711,0.0692,1.9738,1.9900,0.1422,25.7812,100.0000,0.0937,0.0000,2.3438,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy 2/Dense,Evaluation,18,Bipartite,Dense,0.4148,0.3697,,4.8176,8.1728,1.1644,58.0488,0.0000,1.3500,1.2725,1.0000,1.7967,1.3309,1.0735,1.1488,1.4005,1.1950,0.6555,1.4759,1.3542,0.3370,1.5918,2.0000,1.7954,0.0000,100.0000,0.1034,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy 2/Medium,Evaluation,18,Bipartite,Medium,0.2484,0.1967,,3.6678,4.0951,0.1425,11.2383,0.0000,0.9405,1.3818,0.9800,1.7557,1.4679,1.1626,0.6553,1.5536,1.4119,0.1652,1.6521,1.6686,0.1882,1.7787,2.0000,1.4112,0.0000,100.0000,0.0438,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/old_hpo1 copy 2/Sparse,Evaluation,18,Bipartite,Sparse,0.1622,0.0747,,2.1893,1.3631,0.2731,3.7441,0.0000,0.7880,1.4892,0.8922,1.5551,1.5961,1.1659,0.7323,1.6980,1.5716,0.2877,1.7951,1.8711,0.4981,1.8843,1.9900,0.7740,0.9766,100.0000,0.1383,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/run_20250717_212628/Dense,Evaluation,18,Bipartite,Dense,0.2302,0.3697,,2.8390,8.1728,1.2584,10.1816,0.0000,0.8740,1.4229,1.0000,1.7949,1.5099,1.0735,1.4418,1.5953,1.1950,1.1837,1.6842,1.3542,1.0243,1.7751,2.0000,1.2693,0.0000,100.0000,0.1794,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/run_20250717_212628/Medium,Evaluation,18,Bipartite,Medium,0.4589,0.1967,,4.5011,4.0951,0.0128,77.4688,0.0000,1.4015,1.2538,0.9800,1.7624,1.3100,1.1626,0.8426,1.3708,1.4119,0.7939,1.4406,1.6686,1.0662,1.5527,2.0000,1.7972,0.0000,100.0000,0.1325,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/run_20250717_212628/Sparse,Evaluation,18,Bipartite,Sparse,0.3842,0.0747,,3.8300,1.3631,0.8123,46.0664,0.0000,1.2244,1.2991,0.8922,1.5827,1.3642,1.1659,1.0299,1.4290,1.5716,0.9096,1.5017,1.8711,1.3451,1.5940,1.9900,1.7818,0.0000,100.0000,0.2211,0.0000,0.0000,100.0000,100.0000
