run_id,run_type,num_nodes,graph_type,density_category,generated_density,density_value,mmd_density,generated_var_degree_dist,var_degree_dist_value,mmd_var_degree_dist,generated_tri,tri_value,mmd_tri,generated_bipartite,bipartite_value,mmd_bipartite,mmd_samples,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/10N_Bipartite/old_hpo1/Dense,Evaluation,10,Bipartite,Dense,0.3928,0.3470,0.0436,1.9887,1.6290,0.0680,7.1875,0.0000,1.1234,0.0020,1.0000,0.7839,0.1089,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_Bipartite/old_hpo1/Medium,Evaluation,10,Bipartite,Medium,0.2421,0.2307,0.0041,1.3246,1.3472,-0.0001,1.1660,0.0000,0.2444,0.4316,1.0000,0.2538,0.0028,0.0000,14.0625,100.0000,93.1641
evaluation_results/10N_Bipartite/old_hpo1/Sparse,Evaluation,10,Bipartite,Sparse,0.1815,0.1771,0.0752,1.1058,1.0290,0.0025,0.4844,0.0000,0.0693,0.6523,1.0000,0.0944,0.0090,0.0000,53.1250,100.0000,83.2031
evaluation_results/10N_Bipartite/old_hpo2/Dense,Evaluation,10,Bipartite,Dense,0.3967,0.3470,0.0488,1.9483,1.6290,0.0675,7.4609,0.0000,1.1069,0.0039,1.0000,0.7808,0.1025,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_Bipartite/old_hpo2/Medium,Evaluation,10,Bipartite,Medium,0.2446,0.2307,0.0050,1.3749,1.3472,0.0055,1.2480,0.0000,0.2901,0.3750,1.0000,0.3070,0.0064,0.0000,12.5000,100.0000,94.7266
evaluation_results/10N_Bipartite/old_hpo2/Sparse,Evaluation,10,Bipartite,Sparse,0.2013,0.1771,0.0667,1.1816,1.0290,0.0111,0.7285,0.0000,0.1412,0.5176,1.0000,0.1828,0.0075,0.0000,39.6484,100.0000,81.2500
evaluation_results/10N_Bipartite/old_hpo3/Dense,Evaluation,10,Bipartite,Dense,0.4008,0.3470,0.0578,1.9959,1.6290,0.0752,7.7988,0.0000,1.1110,0.0039,1.0000,0.7808,0.1101,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_Bipartite/old_hpo3/Medium,Evaluation,10,Bipartite,Medium,0.2404,0.2307,0.0010,1.3798,1.3472,0.0085,1.1348,0.0000,0.2781,0.3926,1.0000,0.2900,0.0024,0.0000,14.8438,100.0000,94.1406
evaluation_results/10N_Bipartite/old_hpo3/Sparse,Evaluation,10,Bipartite,Sparse,0.2073,0.1771,0.0798,1.2349,1.0290,0.0230,0.8242,0.0000,0.1942,0.4707,1.0000,0.2201,0.0111,0.0000,34.9609,100.0000,86.3281
evaluation_results/10N_Bipartite/run_20250704_125454/Dense,Evaluation,10,Bipartite,Dense,0.3688,0.3470,0.0061,1.7921,1.6290,0.0326,6.2578,0.0000,1.0540,0.0078,1.0000,0.7747,0.1362,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_Bipartite/run_20250704_125454/Medium,Evaluation,10,Bipartite,Medium,0.4114,0.2307,0.7889,2.0841,1.3472,0.2157,8.8125,0.0000,1.1211,0.0000,1.0000,0.7869,0.1127,0.0000,0.0000,100.0000,99.8047
evaluation_results/10N_Bipartite/run_20250704_125454/Sparse,Evaluation,10,Bipartite,Sparse,0.4563,0.1771,0.6510,2.0327,1.0290,0.3502,11.1406,0.0000,1.1173,0.0000,1.0000,0.7869,0.1903,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_Bipartite/run_20250716_095712/Dense,Evaluation,10,Bipartite,Dense,0.2871,0.3470,0.2038,1.5313,1.6290,0.0128,2.6445,0.0000,0.6306,0.1230,1.0000,0.6050,0.0620,0.0000,0.3906,100.0000,99.2188
evaluation_results/10N_Bipartite/run_20250716_095712/Medium,Evaluation,10,Bipartite,Medium,0.2154,0.2307,0.0138,1.3292,1.3472,-0.0003,1.2754,0.0000,0.3146,0.3340,1.0000,0.3487,0.0383,0.0000,15.4297,100.0000,89.0625
evaluation_results/10N_Bipartite/run_20250716_095712/Sparse,Evaluation,10,Bipartite,Sparse,0.2757,0.1771,0.3462,1.5496,1.0290,0.1221,2.5312,0.0000,0.6244,0.1523,1.0000,0.5652,0.0489,0.0000,10.1562,100.0000,97.6562
evaluation_results/10N_ER/run_20250704_103803/Dense,Evaluation,10,ER,Dense,0.6283,0.7884,0.6231,1.7323,1.2213,0.1064,29.9297,58.6540,0.7251,0.0000,0.0000,0.0000,0.0607,0.0000,0.1953,100.0000,100.0000
evaluation_results/10N_ER/run_20250704_103803/Medium,Evaluation,10,ER,Medium,0.4850,0.4380,0.0688,1.7731,1.7961,-0.0011,13.7266,9.9880,0.0622,0.0000,0.0020,0.0000,0.0100,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_ER/run_20250704_103803/Sparse,Evaluation,10,ER,Sparse,0.5000,0.1919,0.9801,1.8666,1.1902,0.1797,15.1484,0.8420,0.7167,0.0000,0.3380,0.0896,0.1801,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_ER/run_20250716_103917/Dense,Evaluation,10,ER,Dense,0.5650,0.7884,0.8044,1.7672,1.2213,0.1119,21.6582,58.6540,1.0568,0.0000,0.0000,0.0000,0.0858,0.0000,0.0000,100.0000,100.0000
evaluation_results/10N_ER/run_20250716_103917/Medium,Evaluation,10,ER,Medium,0.2998,0.4380,0.5594,1.4924,1.7961,0.0280,3.2539,9.9880,0.4520,0.0801,0.0020,0.0047,0.0276,0.0000,0.0000,100.0000,99.8047
evaluation_results/10N_ER/run_20250716_103917/Sparse,Evaluation,10,ER,Sparse,0.2476,0.1919,0.1708,1.4334,1.1902,0.0264,1.9375,0.8420,0.0822,0.1797,0.3380,0.0191,0.0108,0.0000,12.8906,100.0000,96.0938
