Prob,Final Params
0.05,"[ 3.68958933e-04 -1.14243570e-04  1.98159941e-02 -7.56473312e-04
 -1.96651100e-02 -2.35216585e-03  8.53334530e-02  1.01975953e-01
  1.15600291e-03  1.17395413e-05  7.75297533e-02  2.16357250e-02
  2.92681713e-02  3.89463520e-03  8.80957099e-03  1.75897625e-04
  4.12518128e-04 -5.42096780e-04  3.54830003e-03  2.40624969e-04
  8.10962707e-04  1.57059528e+00  3.68783422e-04  4.71879760e-04
  5.27994696e-04  1.08301886e-02  1.40779565e+00  6.98774430e-04
  2.33289914e-04 -4.90129343e-04  7.21633121e-05  1.56929268e-03
  3.81845766e-04 -3.28591180e-03 -3.60819886e-03 -9.95442255e-04
  1.80445708e-01  1.65783131e-02 -3.16784681e-03 -4.18187300e-03
 -2.07315425e-03  1.74834297e-03  5.57450020e-03  5.70704440e-02
  6.07867515e-02 -6.96673259e-02 -7.21268249e-02  1.46419244e+00
 -1.55036276e-03 -2.57821650e-02  4.55477623e-03  6.53539793e-02
  1.44805826e+00 -1.00825022e-02 -1.39820591e-03  1.26154328e-04
  8.63094999e-02 -1.41032237e+00  4.17434980e-02 -1.38477935e-04
  1.55455597e-02 -1.22568176e-03  1.49744686e+00  6.64274504e-02
 -1.48076172e-04 -5.24239328e-03  1.66161637e-01  8.05161817e-03
  1.46918602e-01 -7.06982855e-04  4.74736396e-02 -3.46624592e-02
  1.89722202e-02  1.94620471e-02  3.33900490e-03  5.72867542e-02
 -6.67483176e-04  2.47744213e-02  3.44453390e-04  2.69136255e-02
  1.16045270e-01  3.39588027e-03  4.28814140e-03 -6.36888022e-03
  1.33878705e-03 -9.91095081e-03  9.88868869e-04 -2.86588028e-02
  2.99556499e-03 -9.96205710e-02 -3.39318285e-02 -2.03315477e-02
 -1.17801855e-01 -9.10966551e-04 -1.31634498e-02  1.82682914e-02
 -3.14618425e-03 -3.94020168e-02 -3.15743574e-03  7.77599069e-04
 -1.04408538e-02  2.43508361e-02  1.19168016e-02  1.48663439e+00
 -1.45761683e-04  1.37831931e-02  3.71946741e-03 -1.33386904e-03
  3.66834092e-04  8.07013765e-04  1.31718885e-01 -4.85274236e-02
  5.43855578e-02  2.30690320e-02 -1.14802930e-01  3.57184077e-02
 -1.12581742e-02 -1.84114541e-03  1.79245938e-01  1.47303115e-02]"
0.08172413793103447,"[ 1.16762049e-01 -5.34225745e-02  9.90473794e-02  1.05150710e-01
  1.19073265e-01 -2.59902527e-03  1.99200844e-02  1.31523926e-01
  1.28949663e-01  2.44173782e-03  2.18688872e-02  7.65706900e-02
  3.34306385e-02  2.71050373e-02  4.86635813e-02 -2.52522043e-02
 -9.73755158e-03 -2.90389315e-04  8.92446729e-04 -1.82128290e-02
  3.15206959e-04  1.45596199e+00 -1.16421083e-01 -1.44229208e+00
 -8.33051019e-02 -3.08602879e-04  1.65067345e-03  1.30030554e-03
  8.76915745e-03 -6.03666669e-02  1.15930015e-01  3.22401661e-02
 -6.88294061e-03 -3.04219685e-02 -1.16607469e-01 -1.07333362e-01
  3.93643505e-03  1.18109541e-02  7.26894391e-03 -1.36704016e-01
  2.81409119e-02  1.15946596e-02  1.97889421e-02 -9.10811686e-03
  6.33466791e-02  6.34958759e-02 -3.50122949e-02  5.06820846e-02
  2.84815439e-02 -1.28128622e-01 -3.93202378e-02  1.65152653e-01
  1.94681689e-01 -4.83349565e-03  5.71707337e-02 -7.20414291e-02
  1.06582109e-01  3.67447797e-02  5.55756063e-02 -3.48001111e-02
  9.75985888e-02  7.10462478e-04  7.38613351e-03  4.43605635e-02
  5.42780138e-03 -7.12389014e-02 -2.98335021e-02 -2.92422448e-02
 -1.24399460e-01  1.59218056e-01  8.01018721e-03 -1.39881417e-01
  1.59278602e-02  9.04587106e-02  4.06501760e-02 -1.15019530e-01
 -9.25346751e-02  3.12862672e-02 -8.69054443e-03  1.67175589e-02
  6.15388601e-02 -6.38314246e-02 -8.63009065e-02  2.58007141e-03
 -1.60657484e-02 -1.64985942e-01  1.93792926e-03 -6.40042822e-03
 -7.95653735e-02  6.29152044e-03  1.29130291e-01 -7.89939514e-03
 -7.39712621e-02 -1.42500424e+00  3.83907800e-04  5.04183625e-02
 -1.21326134e-02 -3.03268074e-03 -6.30616543e-03 -1.46669914e-03
 -2.50263650e-02  3.45735133e-03 -1.66815064e-02  1.85651278e-02
 -6.39178607e-02  8.85060121e-02 -5.94438752e-04  3.88050902e-02
  3.03202055e-02  3.12258907e-02  1.47993511e+00 -1.44939970e+00
 -1.51607979e-04 -1.61391555e-02 -1.41692839e+00 -8.59839788e-03
 -6.77974593e-02 -1.40684786e-01  2.03042162e-01 -1.16457447e-02]"
0.11344827586206896,"[ 1.41954964e-04  7.21720814e-02  1.56983630e-01  1.53630468e-03
  2.06164141e-01  2.76702216e-03  8.36171359e-02  9.66719418e-02
  1.52598563e-01  8.50543967e-02  2.08320495e-03  1.35339395e-02
  1.47758901e-01  6.79285014e-02  3.23460985e-02  1.16994641e-02
 -1.41317607e-02  1.01222432e-03  5.16340151e-02 -1.25651367e-03
  5.72692995e-04  1.88032672e-01 -2.02228218e-01  4.49070744e-03
 -4.52468947e-03  9.64636487e-04 -2.47994328e-03 -2.72589899e-03
 -4.44907383e-05 -3.58669784e-02  2.15029015e-02  4.32000986e-02
  2.67217410e-03  1.16498922e-01  1.65632706e-02 -1.08007429e-01
  7.37679517e-02  1.07890116e-03  6.75318464e-02 -1.52139211e-01
  2.24868355e-01 -2.67223861e-03  6.43375905e-02 -1.02343920e-02
  9.95306838e-04  1.31552683e-01 -5.42703535e-03  8.09082144e-03
  1.88995385e-01 -3.96486962e-03 -2.59034368e-03  1.43979132e+00
  5.48398805e-02 -1.35276569e+00  2.92033127e-01 -6.41354195e-04
  1.87966436e-03 -5.31929217e-03 -1.19755574e-03 -3.35044658e-03
 -1.32157706e-03 -7.83661124e-04  2.93824183e-03  2.41497076e-03
 -4.93332961e-04 -1.22188543e-01 -2.22124934e-02  1.78080339e-02
 -6.67026531e-02 -7.14201916e-03  7.67184266e-03 -5.68045291e-03
 -2.39959437e-02  6.83100739e-03  2.89044363e-02  2.27655773e-01
  1.66530912e-03 -3.73231370e-03 -3.47510779e-02 -5.08718312e-03
  7.92982452e-04 -1.20898974e-02 -3.79457832e-02 -4.36244912e-03
 -3.16501163e-02 -1.73755218e-01  2.08446004e-02  2.75399425e-05
  4.19879226e-03  1.12283822e-01  2.76981432e-03  9.96616704e-05
 -1.04746349e-01 -1.05048429e-01 -1.73606964e-03  1.46929935e-03
 -2.90672425e-02  2.48610011e-01  2.19083261e-03 -1.05437684e-01
 -5.53532020e-02  1.65424335e-02 -1.45368043e-01  1.31181918e-02
 -5.15537219e-02  5.92425025e-02  8.70293948e-03  2.09901105e-01
 -1.56731928e-03 -1.88880091e-03  2.83122504e-01  1.09884378e-04
 -2.52214148e-03  1.62595161e-03 -6.58297283e-02 -2.62968139e-03
 -3.40280541e-02 -2.67691682e-03  1.41229217e+00  1.06269061e-01]"
0.14517241379310342,"[ 4.64311140e-02  6.33972829e-02  1.52186432e-01  1.52820395e-01
  2.05773290e-01  7.97512538e-02  1.10543012e-01  4.75308438e-02
  9.55219716e-02  1.47551115e-01  9.82060906e-02  1.67641490e-01
  8.82270439e-02  2.11435183e-01  1.00965798e-01 -3.11533231e-03
 -3.78327048e-02  3.27736079e-03  6.80359450e-02 -5.37713959e-03
 -7.94984365e-02  1.35394528e+00 -1.35610365e+00 -4.66899935e-03
  3.38212215e-03 -7.25726008e-03  3.50992762e-03 -2.20705148e-02
 -8.08121191e-03 -1.74130776e-02  8.02325753e-04  3.68499934e-04
 -1.11672967e-01 -2.06845481e-02  1.28382516e-01 -2.29051106e-02
 -1.40477847e-01  2.20046530e-03  3.33069206e-01 -4.65167465e-04
  2.68361689e-03  1.54277905e-05  1.50662589e-01 -1.43016504e-01
 -3.70766007e-02  1.24752344e-01 -1.28837367e-02  6.95649523e-02
  6.16139674e-02 -1.43971195e-02 -1.79286700e-02  1.96104359e-01
  2.14313615e-01 -2.18241141e-02 -2.48267314e-02  4.64918858e-03
  1.19356668e-01 -4.03221321e-02 -5.31971590e-03 -1.74023133e-01
 -9.53385376e-02  1.12818042e-01  6.74683555e-02 -1.41905890e-02
  1.96398719e-01 -9.72904750e-02 -1.59482801e-01 -5.57992509e-02
  1.62433344e-02  2.55415720e-02  2.86693891e-01  7.31671786e-03
 -1.09483722e-02  3.45084826e-02  3.64471908e-02  2.25944211e-01
 -1.11249306e-01  8.68617579e-03  1.43577383e-02 -6.60493566e-03
  3.34832341e-02 -4.17653768e-03 -9.58706304e-02  1.24314269e-02
 -3.50803639e-02  5.83476465e-04  5.95990522e-02  5.24240210e-03
 -6.86440965e-03  2.59601120e-01 -3.32808210e-03 -6.70926761e-02
 -1.33942444e+00 -1.31639127e-01 -6.26356623e-02 -1.32331951e-02
 -1.23615010e-02  6.97966301e-02 -3.58881446e-02 -9.80199501e-02
 -4.34296650e-02  6.39787798e-03 -1.30621446e-01  2.48459577e-01
 -7.37123439e-04 -2.50263576e-02  3.09608932e-02  4.32163489e-03
 -1.81760589e-01 -1.66924628e-02  1.22318736e-01 -3.89410557e-03
 -2.04807308e-03  1.67370284e-02 -6.35995232e-02 -5.67761691e-02
  2.00235557e-02 -6.65406644e-02  2.87133808e-01  5.11393399e-02]"
0.17689655172413793,"[ 1.68276458e-01  2.61527345e-01  2.19590925e-01  2.03179488e-01
  1.77622485e-01  6.61586018e-02  1.23419034e+00  6.29966118e-02
  2.53798716e-01  1.50573454e-01  1.96654631e-01  2.18941510e-01
  1.34948415e+00  1.77024809e-01  1.70479082e-01  2.34154637e-02
 -8.09472814e-02 -6.39711399e-02  1.07555180e-01 -1.77031886e-02
 -1.54585683e-01  9.23476785e-02 -3.07333513e-02  9.19958598e-03
  4.99234995e-03 -2.77356379e-01  3.23558625e-02  6.94054066e-02
 -4.41968108e-02 -6.11405452e-03  1.38007380e-02 -1.40096372e-01
 -8.70736789e-02 -4.16095940e-02  7.94388709e-02 -2.40618104e-02
 -2.38043252e-01  2.06409942e-02  1.06835400e-01 -1.72982215e-01
  1.33688542e-01 -5.53875006e-02  3.97003909e-02 -2.94757758e-01
  3.85726543e-02  1.67113744e-01 -2.63557566e-02  1.13990221e-01
 -1.76274036e-02  7.45475849e-03  1.05701648e-02  1.07843026e-02
  2.04013321e-01 -2.38502347e-03  1.86729457e-01 -5.20039562e-02
  1.63214529e-01 -7.92280295e-02 -7.63154333e-02 -9.36588722e-02
 -3.53645555e-02  2.96180226e-03  2.11753093e-01  4.28398799e-02
  1.11798579e-01 -9.19070935e-03 -3.08723904e-02 -3.41298655e-03
 -3.34771779e-02  2.31397746e-01  1.17395104e-02 -1.53721944e-01
 -6.83660812e-03  1.81712497e-03  2.27068591e-02  1.92529335e-01
 -2.87465508e-01 -2.13074982e-02 -2.23179520e-02 -5.04635305e-03
 -1.47399698e-02 -5.92419493e-03  1.70206448e-02  8.29634563e-02
  9.04212929e-03 -1.90860459e-02  7.17738629e-02 -2.60506858e-02
 -6.70104452e-02  1.50589046e+00  2.23471121e-03 -5.30698163e-02
 -2.52433840e-01 -1.33502265e-03  3.23589491e-03 -5.13669957e-03
 -6.44306705e-02  2.01946892e-02 -1.57159928e-01 -1.47285928e-01
 -7.95943987e-02 -3.60438498e-03 -2.09159725e-01  1.65994315e-01
 -1.84870706e-02  3.24493047e-03  8.60488730e-02 -8.98216455e-03
 -2.12917600e-02 -2.72713143e-02  1.15488044e-01  4.26238092e-03
 -3.30336345e-01  8.15740637e-02 -1.06674171e-01 -1.11126361e-02
 -7.59126763e-03 -1.00528633e-01  2.87418019e-01 -7.31375109e-04]"
0.2086206896551724,"[ 0.17371573  0.24441318  0.28401893  0.25554675  0.38237635  0.22205513
  0.10278941  0.04950788  0.30171392  0.1520411   0.2011563   0.22723104
  0.19077213  0.25261316  0.24342652  0.08130228  0.01225804  0.0136405
  0.09218343  0.01023782 -0.04728482  0.28612362 -0.02839947  0.06200055
  0.02854908 -0.22974685  0.022496   -0.02540257 -0.05122529 -0.06965561
 -0.01108085  0.01044317  0.00840983 -0.1588575   0.14695869  0.01036703
  0.00493831  0.02003042  0.00285151 -0.2670691   0.21262181 -0.1363844
 -0.1187263  -0.10718189 -0.02363443  0.29606234 -0.00766506  0.10844345
 -0.00945498  0.14349308 -0.03472332  0.01003103  0.22024689 -0.03900203
  0.18294085 -0.04549583  0.05187844 -0.09119592 -0.13775941 -0.07487633
 -0.01528388  0.04018428  0.28649335  0.0444231   0.10713259 -0.06798357
 -0.0208155   0.02326828 -0.00362954  0.22356935  0.01034984 -0.29133029
 -0.00190099 -0.02346176 -0.01267832  0.07192927 -0.23585097  0.01820862
  0.2990484  -0.02420847 -0.00795578  0.07620199  0.0298618  -0.00517402
  0.00055214  0.00195346  0.09021647 -0.17401906 -0.00451872  0.20182263
  0.00969216 -0.27794682 -0.2262969   0.00420067  0.07462241 -0.00704049
 -0.01089287  0.05637823 -0.15971658 -0.09214214 -0.25452872  0.01414549
 -0.19114389  0.13734431 -0.08580451  0.20829153 -0.00798893  0.0008734
 -0.01339814 -0.13175973  0.01786183 -0.00604267 -0.16913365  0.01938091
 -0.07094154 -0.17154625 -0.03354149 -0.18680581 -0.00058663  0.07667915]"
0.24034482758620684,"[ 0.18405271  0.26438043  0.1701282   0.35775398  0.32920493  0.25343514
  0.17328741  0.24455532  0.19899457  0.12237363  0.25298699  0.17182794
  0.29154304  0.37034177  0.24745456  0.01231581 -0.04474936 -0.18930106
  0.01617196  0.08400986 -0.09973507  0.09884553 -0.23994673  0.21752793
  0.04636737 -0.07225981 -0.02592696 -0.00462173  0.14911056 -0.18370806
  0.02519054  0.19325807 -0.05780895 -0.03557479  0.21609143 -0.07808939
 -0.00510226 -0.02575261  0.19892232 -0.21452324 -0.02944542 -0.17663621
 -0.07455071 -0.03841696 -0.03827122  0.25625682  0.00656729  0.02862138
  0.01315566  0.14783383  0.01317913  0.02180597  0.37550653  0.0186043
 -0.01007464  0.03183724  0.01437372 -0.06216283 -0.02538363 -0.232658
 -0.06480033  0.02428566  0.25078834  0.03074371  0.0633049   0.06742731
 -0.05284102  0.23449009  0.01407217  0.01737528  0.07684798 -0.38619539
  0.19471659 -0.01958475 -0.01900288  0.1382171  -0.06155085  0.08563743
  0.35354371  0.0387221   0.01115638  0.0588486   0.03286024  0.00605108
  0.0254002  -0.01056517  0.09398362 -0.29784034 -0.01890191  0.26664356
  0.02763053 -0.15711399 -0.25350361  0.01796979  0.04572056 -0.02852322
 -0.01181273  0.0124133  -0.27541564 -0.152157   -0.19648727  0.00876542
 -0.28039054 -0.01221037 -0.19704933  0.09222056  0.00096065  0.01561643
  0.00292763 -0.02455773  0.01367509 -0.10656805 -0.12086558  0.06856816
 -0.05276398 -0.14391817 -0.02863884 -0.06263669  0.02876033  0.06885924]"
0.27206896551724136,"[ 0.20217713  0.3291893   1.216688    0.28311336  0.43719921  0.28104437
  0.19464874  0.24456043  0.39113128  0.24635097  0.37802932  0.19318604
  0.23060293  1.19682389  0.30865953  0.04793225  0.03602464 -0.26980082
  0.06430754  0.00467968 -0.00162634  0.18403937 -0.11425853  0.20560743
  0.05667119 -0.18589831 -0.05993511  0.03891019  0.13325834 -0.1355501
 -0.01478189  0.14029566 -0.04152622 -0.19245329  0.14983704  0.01002598
 -0.15979328  0.03238003  0.14962256 -0.27219027 -0.23710903 -0.16156029
 -0.03071874 -0.11298831 -0.21157616  0.22320429  0.220326    0.03807059
  0.0602049   0.01192158 -0.11426797 -0.06306144  1.30064883  0.04635121
  0.05174184  0.00664311  0.03321445 -0.21908489 -0.03692039 -0.3477358
  0.10164837 -0.0033168   0.18120327 -0.09980978  0.16075572 -0.01416322
 -0.02231975  0.08605001 -0.03246273  0.0015705   0.24079753 -0.38333853
  0.13475969 -0.08193591  0.00240287  0.37453455 -0.03107348  0.0259548
  0.04271983 -0.06147069  0.00906088  0.16801971 -0.00561441  0.02267576
  0.07407407 -0.01812291  0.02541942 -0.15477239 -0.03755729  0.21906451
  0.20241142 -0.12131274 -0.14763196 -0.00990622  0.03725507 -0.09780184
 -0.05097342  0.25932635 -0.29532675 -0.13044486 -0.03664624  0.01721187
 -0.39544206 -0.01527658 -0.12282459  0.24057184 -0.00618809  0.01615061
  0.0034304  -0.16293097  0.01392331 -0.12462528 -0.13276122  0.04741477
 -0.03336772 -0.12693141 -0.11480316  0.00326904  0.00243086  0.07599093]"
0.3037931034482758,"[ 0.16682028  0.3275222   0.35558094  0.37300933  0.44963939  0.28389597
  0.29507018  0.36360161  0.45081766  0.34405199  0.31037327  0.20729883
  0.28820541  0.27045208  0.32141639  0.13286564 -0.0098328  -0.24335917
  0.1270466  -0.01011322 -0.08815262  0.12541191 -0.23366199  0.3071825
  0.17520065 -0.10377556 -0.13357824  0.04114563  0.00745755 -0.10071798
  0.02533393  0.20049828  0.07276255 -0.29066381  0.03692499  0.21564528
 -0.12127883  0.16498719  0.19338173 -0.11945429 -0.12684913 -0.231628
  0.03656777  0.02411239 -0.16906296  0.10807586  0.09036524  0.00608229
 -0.00165211  0.01875655 -0.03871228  0.08526994  0.4516737  -0.01137209
  0.07648927 -0.12720307  0.07519716 -0.19271658 -0.10587424 -0.21361152
  0.08561728  0.11357945  0.24003455 -0.15014569  0.16923853 -0.03730729
 -0.117566    0.24575833  0.06137107 -0.09705646  0.17068889 -0.34238155
  0.26811951  0.18975033 -0.07627887  0.31977026 -0.04691509 -0.03216217
  0.0339055  -0.30436016  0.00916292  0.24068874  0.01255484 -0.00279198
  0.12858469 -0.17393855 -0.01488883 -0.07189538 -0.14820021  0.26817934
  0.16071211 -0.11595212  0.01464332  0.04191342  0.08862374 -0.0465564
 -0.13121834  0.23232054 -0.29128008 -0.21486434 -0.04249849  0.03786021
 -0.24613759  0.06515027  0.0224573   0.26753118 -0.03224629 -0.04137988
  0.00176361 -0.10700575  0.13732965 -0.11695573 -0.03680268 -0.02049583
 -0.14620126 -0.20724079 -0.08005839 -0.06091557  0.13325853  0.04607079]"
0.33551724137931027,"[ 0.17723703  0.35772434  0.39349446  0.43475127  0.4111024   0.3641141
  0.33633563  0.29277857  0.41511403  0.4550533   0.32742544  0.23029032
  0.33298921  0.38463518  0.29028323  0.21907654 -0.03229061 -0.22233092
  0.26012337 -0.01072346 -0.14270538  0.04696722 -0.24570411  0.20953708
  0.19466435 -0.1419482  -0.16085887  0.00816689  0.02221227  0.01372241
  0.01215099  0.26162952  0.04803924 -0.33729932  0.02893351  0.05841101
 -0.06935575  0.22386823  0.19614632 -0.11891025 -0.1588357  -0.13675749
 -0.08146393  0.03530731 -0.18970892  0.11593216  0.09269901  0.00586148
  0.01982362 -0.00290844 -0.0914256  -0.0147719   0.49587176  0.01633206
 -0.02456113 -0.12525059 -0.00053526 -0.36842246 -0.04286069 -0.08126708
  0.18547439  0.13448933  0.17757    -0.18903917  0.12008389 -0.05012583
 -0.26052407  0.19650847  0.21996069 -0.10533407  0.15214542 -0.31766279
  0.3357823   0.05879588 -0.08835034  0.23513535 -0.09079054 -0.09061997
 -0.03518219 -0.16332017  0.01343605  0.36023676 -0.02703737 -0.10624189
  0.02604378 -0.3718945  -0.03126624 -0.10724474 -0.27298571  0.15933929
  0.20549997 -0.2063278   0.11125582  0.00507253  0.01459357 -0.08774475
 -0.09849539  0.19219222 -0.42460434 -0.17007048 -0.012744    0.03287394
 -0.22519667 -0.03601577  0.04204499  0.34331638 -0.16897673 -0.05646652
  0.02747896  0.03844509 -0.01109488 -0.13817116  0.00746184 -0.01686511
 -0.14036408 -0.13068381 -0.03295642 -0.09572547  0.06989664 -0.02812271]"
