Prob,Mean Prob,Standard Err
0.05,0.04639999999999999,0.002408857728375745
0.08172413793103447,0.07673333333333333,0.0029455797392024543
0.11344827586206896,0.11326666666666665,0.003345576847786409
0.14517241379310342,0.1456,0.003728654210599613
0.17689655172413793,0.18339999999999998,0.0038867289874934966
0.2086206896551724,0.21006666666666665,0.004026688189787952
0.24034482758620684,0.23646666666666669,0.004080191171991822
0.27206896551724136,0.2676,0.004053971441000102
0.3037931034482758,0.29453333333333337,0.0041789291557633385
0.33551724137931027,0.3244666666666667,0.004139410049216623
0.3672413793103448,0.3651999999999999,0.004211896379436596
0.39896551724137924,0.4000666666666667,0.00429003962685661
0.4306896551724137,0.43973333333333336,0.004053412279932934
0.4624137931034482,0.463,0.004289509166430221
0.49413793103448267,0.4798,0.004094544337692942
0.5258620689655172,0.5062,0.004240204921672746
0.5575862068965517,0.5445999999999999,0.0043575931175108325
0.5893103448275862,0.5854666666666667,0.004032355804406814
0.6210344827586206,0.6261333333333332,0.004233378477449581
0.6527586206896552,0.6591999999999999,0.004140561421943755
0.6844827586206896,0.6848,0.004370617042630632
0.7162068965517241,0.7189333333333333,0.00397399547055605
0.7479310344827585,0.7489333333333332,0.004337558965337276
0.779655172413793,0.7816000000000001,0.0040220635941709765
0.8113793103448275,0.8125333333333333,0.004057725690307045
0.843103448275862,0.8444,0.0037549635299308983
0.8748275862068965,0.8737999999999999,0.00349574407911487
0.906551724137931,0.9002,0.003195824358961759
0.9382758620689654,0.9314666666666667,0.0027977896037169533
0.97,0.9615333333333334,0.0021334072903847184
